Summer 2012,,White Only (NEW),American Indian Only (NEW),Asian Only (NEW),"Black Only
+ 2 or more/1 Black (NEW)",Hispanic or Latino of any Race (NEW),Native Hawaii Only (New),2 or More/Excl uding Black (NEW),Internatio nal,Unknown or Not Reported,Total
Liberal Arts,SPAN,13,,,,17,,,,,30
,TCMS,36,,1,2,3,,,,1,43
,THAR,7,,,1,1,,,,,9
,USLA,4,,,,2,,,,,6
,WGST,2,,1,1,3,,,,,7
,Subtotal,"1,598",7,99,134,453,,45,115,12,"2,463"
Science,APHY,5,1,,,2,,1,1,,10
,APMS,24,,2,,3,,2,,2,33
,BIOL,141,1,39,11,57,,3,23,2,277
,BMCB,12,,3,,6,,,1,1,23
,CHEM,118,1,16,7,32,,2,126,15,317
,MATH,88,,4,4,19,,7,74,,196
,MBIO,12,,1,2,3,,,5,,23
,MSEN,,,,,,,,2,,2
,PHYS,76,,5,3,15,,4,68,8,179
,STAT,51,1,8,4,13,,2,31,2,112
,USSC,8,,,1,3,,,,,12
,ZOOL,20,,,1,5,,1,,,27
,Subtotal,555,4,78,33,158,,22,331,30,"1,211"
Veterinary  Medicine,BIMS,282,1,53,18,70,,9,29,1,463
,BIOT,,,,,,,,1,,1
,GENE,7,,,,,,,,,7
,LAMD,2,,,,,,,,,2
,STJR,1,,,,,,1,2,,4
,TOXI,7,,1,2,,,,6,,16
,VPAT,10,,,,2,,,1,,13
,VPHY,1,,,,,,,,,1
,VTMD,133,,3,2,21,,2,,2,163
,VTMI,5,,,2,1,,,3,,11
,Subtotal,448,1,57,24,94,,12,42,3,681
