Summer 2012,,White Only (NEW),,American Indian Only (NEW),,Asian Only (NEW),,Black Only + 2 or more/1 Black (NEW),,Hispanic or Latino of any Race (NEW),,Native Hawaii Only (New),,2 or More/Excluding Black (NEW),,International,,Unknown or Not Reported,,Total,,Total
,,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,
Agriculture,ADEV,3,5,,,,,,,,1,,,,,,,,,3,6,9
,AGBL,9,12,,,,,,,,,,,1,,1,,,,11,12,23
,AGBU,21,48,,,,,1,1,2,5,,,,2,6,3,,2,30,61,91
,AGCJ,99,25,2,,1,,5,2,2,1,,,4,3,2,1,,,115,32,147
,AGEC,26,88,,,,,,,4,11,,,1,1,11,17,,,42,117,159
,AGLS,12,20,,,1,,4,,3,4,,,1,,,,,,21,24,45
,AGRO,7,34,,,,1,,,2,5,,,,1,,3,,,9,44,53
,AGSC,31,11,,,,,,,7,1,,,1,,,,,,39,12,51
,AGSM,5,38,,,,,,,,8,,,,,,3,,,5,49,54
,ALEC,42,23,,,,,3,4,2,2,,,1,,2,1,,1,50,31,81
,ALED,63,128,2,2,,1,6,32,13,19,,,,3,,1,,,84,186,270
,ANBR,3,,,,,,1,,,,,,,,,,,,4,,4
,ANSC,175,77,3,,3,,3,1,23,11,,,4,2,1,2,1,,213,93,306
,BAEN,11,32,,1,2,4,1,1,6,15,,,,4,11,13,,,31,70,101
,BESC,24,22,,,1,6,3,3,20,11,,,,1,2,,4,4,54,47,101
,BICH,21,44,,1,5,8,6,2,4,10,,,2,1,17,30,4,5,59,101,160
,CDEV,7,6,,,1,,,,1,2,,,,,,,,,9,8,17
,DASC,1,,,,,,,,,,,,,,,,,,1,,1
,ECOR,2,4,,,,,,,,1,,,,,,,,,2,5,7
,ENST,3,8,,,,,,,2,2,,,,,,,,,5,10,15
,ENTO,25,18,,,1,2,,1,9,6,,,1,,4,5,6,4,46,36,82
,FISC,,,,,,,,,,1,,,,,,,,,,1,1
,FIVL,2,,,,,,,,1,,,,,,,,,,3,,3
,FIVS,10,3,,,1,1,,,3,1,,,,,,,,,14,5,19
,FORS,2,6,,,,,1,,,1,,,,,3,3,,,6,10,16
,FSTC,27,15,,,1,1,2,2,6,3,,,3,1,9,4,,,48,26,74
,GENE,17,17,,,4,,1,,5,3,,,,1,3,5,1,,31,26,57
,HORT,48,20,,,1,,,,2,4,,,1,,6,5,,,58,29,87
,MEPS,1,3,,,,1,,1,1,1,,,,,5,5,,,7,11,18
,NRDV,7,7,,,,,1,,2,1,,,1,,,,,,11,8,19
,NUSC,105,13,,,10,2,7,2,18,6,1,,4,1,2,,,,147,24,171
,NUTR,14,2,,,1,1,,,1,,,,,,6,2,,,22,5,27
,PLBR,6,18,,,,,,,,,,,,,8,9,,,14,27,41
,PLPA,3,3,,,,,1,,4,4,,,,,3,8,,1,11,16,27
,POSC,18,27,,,,,1,1,8,4,,,1,,,2,,,28,34,62
,PREP,2,,,,,,,,,1,,1,,,1,2,,,3,4,7
,PSSC,,,,,,,1,,,,,,,,,,,,1,,1
,RENR,4,15,,,,,,,1,5,,,,,,,,,5,20,25
,RLEM,13,14,,,1,,,,3,7,,,,2,6,1,,,23,24,47
,RPTS,108,66,1,,2,2,5,13,12,9,1,,2,2,6,1,,,137,93,230
,SOSC,3,8,,,,1,,,1,,,,,,3,1,,,7,10,17
,SPSA,,6,,,,1,,,,2,,,,,,,,,,9,9
,TOXI,1,,,,,,,,,,,,,,1,,,,2,,2
,USAL,13,20,,,,1,,3,1,3,,,1,,,,,,15,27,42
,WFSC,50,36,1,,,,2,1,23,15,,,1,,4,4,1,,82,56,138
,WISC,5,4,,,,,,,,1,,,,,,,,,5,5,10
,WMHS,1,1,,,,,,,,,,,,,2,1,,,3,2,5
,Subtotal,"1,050",947,9,4,36,33,55,70,192,187,2,1,30,25,125,132,17,17,"1,516","1,416","2,932"
Architecture,ARCH,8,17,,,,,1,,1,6,,,,,11,11,1,,22,34,56
,COMG,5,4,,,,,1,,,3,,,,,3,7,,,9,14,23
,COSC,12,145,,1,,1,,3,8,21,,,,3,,1,,,20,175,195
,COSL,3,75,,1,,1,1,,3,8,,,,2,,2,,,7,89,96
,ENDL,16,13,,,2,,,,11,4,,,,,1,,,,30,17,47
,ENDS,12,13,,,2,,,,3,3,,,1,,,,,,18,16,34
,LAND,3,7,,,,,,,,2,,,,2,12,4,,,15,15,30
,LANL,4,5,,,,,,1,,1,,,,,,,,,4,7,11
,LDEV,1,10,,,,,1,2,,,,,,,1,2,1,,4,14,18
,URPL,2,1,,,,,,,,1,,,,,2,1,,,4,3,7
,URSC,2,10,,,,,,2,4,1,1,,,,1,5,,,8,18,26
,USAR,5,15,,,,,,1,2,4,,,,1,,,,,7,21,28
,VISL,16,7,,,,1,,,3,1,,,,,,,,,19,9,28
,VIST,17,26,,,3,2,,,3,4,,,,1,3,8,1,,27,41,68
,Subtotal,106,348,,2,7,5,4,9,38,59,1,,1,9,34,41,3,,194,473,667
