Ethnicity 2 or More/Excluding Black,,,,,,,,,,,,,
Headcount by Major by Classification / Degree Objective by Ethnicity,,,,,,,,,,,,,
(College Station),,,,,,,,,,,,,
Fall 2013,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,,
Agriculture              AGBL,1,3,1,,5,,,,,,,5,
AGBU,,,,2,2,,,,,,,2,
AGCJ,,1,3,2,6,,,,,,,6,
AGEC,1,,1,,2,,,,,,,2,
AGED,,,,,,,,,,,,,
AGLS,,,1,,1,,,,,,,1,
AGRO,,1,1,1,3,,,,,,,3,
AGSC,,,2,1,3,,,,,,,3,
AGSM,,1,2,2,5,,,,,,,5,
ALEC,,,,,,2,2,,,,,2,
ALED,1,1,3,3,8,,,,,,,8,
ANBR,,,,,,,,,,,,,
ANSC,5,5,4,10,24,1,1,,,,,25,
BAEN,2,1,1,4,8,1,1,,,,,9,
BESC,,3,1,,4,,,,,,,4,
BICH,1,2,3,1,7,,,1,1,,,8,
ENST,,,2,,2,,,,,,,2,
ENTO,1,1,1,1,4,,,,,,,4,
FIVL,1,,1,,2,,,,,,,2,
FIVS,,,,1,1,,,,,,,1,
FORS,1,,,,1,,,,,,,1,
FSTC,,1,,2,3,1,1,,,,,4,
GENE,2,,1,1,4,,,,,,,4,
HORT,1,,1,,2,,,1,1,,,3,
MEPS,,,,,,,,1,1,,,1,
NRDV,,,,,,1,1,,,,,1,
NUSC,,2,3,7,12,,,,,,,12,
PLPA,,,,,,,,,,,,,
POSC,,1,,,1,1,1,,,,,2,
RENR,,1,1,1,3,,,,,,,3,
RLEM,1,3,,1,5,,,,,,,5,
RPTS,,5,2,3,10,,,,,,,10,
RRDV,,,,,,,,,,,,,
SOSC,,,,,,,,1,1,,,1,
SPSA,,,1,2,3,,,,,,,3,
USAL,1,4,,,5,,,,,,,5,
WFSC,1,,4,3,8,,,1,1,,,9,
Subtotal,20,36,40,48,144,7,7,5,5,,,156,
