Ethnicity International,,,,,,,,,,,,,,
Headcount by Major by Classification / Degree Objective by Ethnicity,,,,,,,,,,,,,,
(College Station),,,,,,,,,,,,,,
Fall 2013,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,,
Geosciences,ATMO,,,,,,6,6,17,17,,,23,
ENGS,,1,1,,1,3,,,,,,,3,
ENST,,,,,1,1,,,,,,,1,
GEOG,,1,,,,1,6,6,9,9,,,16,
GEOL,,2,1,3,4,10,7,7,21,21,,,38,
GEOP,,3,1,3,3,10,5,5,13,13,,,28,
GEOS,,,,,,,1,1,,,,,1,
MARB,,,,,,,,,,,,,,
METL,,,,,,,,,,,,,,
METR,,,1,,,1,,,,,,,1,
OCNG,,,,,,,2,2,23,23,,,25,
SPSG,,,,,,,,,,,,,,
USGE,,,,,1,1,,,,,,,1,
WMHS,,,,,,,6,6,9,9,,,15,
Subtotal,,7,4,6,10,27,33,33,92,92,,,152,
Liberal Arts,ANTH,,,,,,2,2,12,12,,,14,
CLSS,,,,,,,,,,,,,,
COMM,,,1,,,1,,,7,7,,,8,
ECON,,3,1,11,9,24,130,130,63,63,,,217,
ENGL,,,,,,,3,3,20,20,,,23,
FREN,,,,,,,,,,,,,,
GERM,,,,,,,,,,,,,,
HISP,,,,,,,,,14,14,,,14,
HIST,,,1,,1,2,,,3,3,,,5,
INTS,,1,1,1,3,6,,,,,,,6,
MODL,,,,,,,,,,,,,,
MUSC,,,,,,,,,,,,,,
NRSC,,,,,,,,,3,3,,,3,
PERF,,,,,,,1,1,,,,,1,
PHIL,,,,,,,,,,,,,,
POLS,,1,1,1,2,5,,,9,9,,,14,
PSYC,,,,3,2,5,,,13,13,,,18,
RUSS,,,,,,,,,,,,,,
SOCI,,1,,,2,3,1,1,7,7,,,11,
SPAN,,1,,,,1,,,,,,,1,
TCMS,,,,,,,,,,,,,,
THAR,,,,,,,,,,,,,,
USLA,,,,,,,,,,,,,,
WGST,,,,,,,,,,,,,,
Subtotal,,7,5,16,19,47,137,137,151,151,,,335,
Science,ANLY,,,,,,,,,,,,,
APHY,,,,,,,,,1,1,,,1,
APMS,,1,3,1,2,7,,,,,,,7,
BIOL,,5,1,3,,9,3,3,36,36,,,48,
BMCB,,,1,1,,2,,,,,,,2,
BOTN,,,,,,,,,,,,,,
CHEM,,3,3,3,1,10,1,1,132,132,,,143,
GENE,,,,,,,,,,,,,,
MATH,,6,1,1,2,10,7,7,75,75,,,92,
MBIO,,1,,,,1,,,7,7,,,8,
MEPS,,,,,,,,,1,1,,,1,
MSEN,,,,,,,,,,,,,,
NRSC,,,,,,,,,1,1,,,1,
PHYS,,12,1,1,1,15,9,9,83,83,,,107,
STAT,,,,,,,5,5,43,43,,,48,
USSC,,,,,,,,,,,,,,
ZOOL,,,,,,,,,1,1,,,1,
Subtotal,,28,10,10,6,54,25,25,380,380,,,459,
Veterinary,BIMS,1,,1,1,3,2,2,30,30,,,35,
