Texas A&M University Student Enrollment Summary,,,,,,,,,,,
Student Head Count by Level by College (College Station),,,,,,,,,,,
College Business Admin,,,,,,,,,,,
Fall 2013,Undergraduate,,Masters,,Doctoral,,Professional,,Total,,
,#,%,#,%,#,%,#,%,#,%,
Gender                   Total,"4,692",100.0%,905,100.0%,70,100.0%,,,"5,667",100.0%,
Female,"2,242",47.8%,357,39.4%,24,34.3%,,,"2,623",46.3%,
Male,"2,450",52.2%,548,60.6%,46,65.7%,,,"3,044",53.7%,
Ethnicity                White Only,"3,474",74.0%,518,57.2%,28,40.0%,,,"4,020",70.9%,
American Indian Only,8,.2%,1,.1%,,,,,9,.2%,
Asian Only,249,5.3%,57,6.3%,5,7.1%,,,311,5.5%,
Black Only + 2 or more/1 Black,103,2.2%,18,2.0%,4,5.7%,,,125,2.2%,
Hispanic or Latino of any Race,705,15.0%,60,6.6%,2,2.9%,,,767,13.5%,
Native Hawaii Only,5,.1%,,,,,,,5,.1%,
2 or More/Excluding Black,87,1.9%,6,.7%,,,,,93,1.6%,
International,51,1.1%,191,21.1%,28,40.0%,,,270,4.8%,
Unknown or Not Reported,10,.2%,54,6.0%,3,4.3%,,,67,1.2%,
TAMU Age            <18,6,.1%,,,,,,,6,.1%,
Categories             18-21,"3,871",82.5%,20,2.2%,,,,,"3,891",68.7%,
22-25,774,16.5%,522,57.7%,5,7.1%,,,"1,301",23.0%,
26-30,23,.5%,195,21.5%,32,45.7%,,,250,4.4%,
31-39,7,.1%,100,11.0%,29,41.4%,,,136,2.4%,
40+,11,.2%,68,7.5%,4,5.7%,,,83,1.5%,
Enrollment           1st Time in College,972,20.7%,,,,,,,972,17.2%,
Status                     1st Time Transfer,93,2.0%,,,,,,,93,1.6%,
1st Time Graduate,,,561,62.0%,13,18.6%,,,574,10.1%,
1st Time Professional,,,,,,,,,,,
Readmitted,16,.3%,,,,,,,16,.3%,
Continuing,"3,611",77.0%,344,38.0%,57,81.4%,,,"4,012",70.8%,
Tuition Status       Resident Tuition,"4,545",96.9%,655,72.4%,10,14.3%,,,"5,210",91.9%,
Non-Resident Tuition,88,1.9%,104,11.5%,1,1.4%,,,193,3.4%,
Tuition Exemption/Waiver,59,1.3%,146,16.1%,59,84.3%,,,264,4.7%,
Residency Status Texas Resident,"4,547",96.9%,665,73.5%,12,17.1%,,,"5,224",92.2%,
"Non-TX, US Resident",91,1.9%,43,4.8%,29,41.4%,,,163,2.9%,
"Non-TX, Non-US Resident",54,1.2%,197,21.8%,29,41.4%,,,280,4.9%,
SCH Categories    < 6 SCH,34,.7%,2,.2%,1,1.4%,,,37,.7%,
6-8 SCH,56,1.2%,4,.4%,,,,,60,1.1%,
9-11 SCH,107,2.3%,271,29.9%,68,97.1%,,,446,7.9%,
12-14 SCH,"2,855",60.8%,398,44.0%,1,1.4%,,,"3,254",57.4%,
15-17 SCH,"1,584",33.8%,170,18.8%,,,,,"1,754",31.0%,
>17 SCH,56,1.2%,60,6.6%,,,,,116,2.0%,
Ft/Pt:  TAMU       Less Than Half Time,34,.7%,2,.2%,1,1.4%,,,37,.7%,
Status                     Half-Time,163,3.5%,4,.4%,,,,,167,2.9%,
Full-Time,"4,495",95.8%,899,99.3%,69,98.6%,,,"5,463",96.4%,
Top 10% Texas     No,"2,218",47.3%,748,82.7%,66,94.3%,,,"3,032",53.5%,
High School          Yes,"2,474",52.7%,157,17.3%,4,5.7%,,,"2,635",46.5%,
First Generation  No,"3,631",77.4%,298,32.9%,11,15.7%,,,"3,940",69.5%,
Unknown,139,3.0%,564,62.3%,59,84.3%,,,762,13.4%,
Yes,922,19.7%,43,4.8%,,,,,965,17.0%,
"Table 8     Prepared by DARS, 12/3/2013",,,,,,,,,,,
