Demographic Summary by College by Ethnicity/Gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First-Time In College Students (College Station),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
College Business Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2013,White Only,,,American Indian Only,,,Asian Only,,,Black Only + 2 or more/1 Black,,,Hispanic or Latino of any Race,,,Native Hawaii Only,,2 or More/Excludin g Black,,,International,,,Unknown or Not Reported,,,Grand Total,,,
,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,366,327,693,1,1,2,24,32,56,15,18,33,88,68,156,3,3,8,11,19,6,1,7,1,2,3,509,463,972,
TAMU Age                <18,3,,3,,,,1,,1,,,,,,,,,1,,1,1,,1,,,,6,,6,
18-21,363,327,690,1,1,2,23,32,55,15,18,33,88,68,156,3,3,7,11,18,5,1,6,1,2,3,503,463,966,
22-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classification/Deg  Freshman,326,310,636,1,1,2,21,31,52,15,17,32,80,63,143,2,2,7,10,17,6,1,7,1,2,3,457,437,894,
"ree Objective
Sophomore",36,17,53,,,,2,1,3,,1,1,8,4,12,1,1,1,1,2,,,,,,,47,25,72,
Junior,3,,3,,,,1,,1,,,,,1,1,,,,,,,,,,,,4,1,5,
Senior,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
Tuition Status          Resident Tuition,359,317,676,1,1,2,24,32,56,15,15,30,87,65,152,3,3,8,10,18,,,,,2,2,494,445,939,
Non-Resident Tuition,4,5,9,,,,,,,,3,3,1,2,3,,,,1,1,4,1,5,1,,1,10,12,22,
Tuition Exemption/Waiver,3,5,8,,,,,,,,,,,1,1,,,,,,2,,2,,,,5,6,11,
Residency Status     Texas Resident,359,317,676,1,1,2,24,32,56,15,15,30,87,65,152,3,3,8,10,18,,,,,2,2,494,445,939,
"Non-TX, US Resident",7,10,17,,,,,,,,3,3,1,1,2,,,,1,1,,,,,,,8,15,23,
"Non-TX, Non-US Resident",,,,,,,,,,,,,,2,2,,,,,,6,1,7,1,,1,7,3,10,
SCH Categories       < 6 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-8 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-11 SCH,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
12-14 SCH,236,205,441,,1,1,8,11,19,7,12,19,55,37,92,1,1,4,8,12,3,,3,,1,1,313,276,589,
15-17 SCH,128,122,250,1,,1,16,21,37,8,6,14,33,31,64,2,2,4,3,7,3,1,4,1,1,2,194,187,381,
>17 SCH,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
Ft/Pt:  TAMU           Less Than Half Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Status
Half-Time",1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
Full-Time,365,327,692,1,1,2,24,32,56,15,18,33,88,68,156,3,3,8,11,19,6,1,7,1,2,3,508,463,971,
Top 10% Texas         No,102,181,283,,1,1,11,18,29,3,12,15,15,33,48,3,3,2,7,9,6,1,7,1,2,3,140,258,398,
Yes,264,146,410,1,,1,13,14,27,12,6,18,73,35,108,,,6,4,10,,,,,,,369,205,574,
First Generation      No,309,287,596,1,1,2,18,24,42,6,13,19,42,43,85,3,3,6,9,15,,,,,,,382,380,762,
Unknown,7,13,20,,,,2,3,5,1,1,2,4,3,7,,,,1,1,6,1,7,1,1,2,21,23,44,
Yes,50,27,77,,,,4,5,9,8,4,12,42,22,64,,,2,1,3,,,,,1,1,106,60,166,
Dorm / Off-              Off-campus,128,128,256,1,,1,7,23,30,5,12,17,25,27,52,1,1,2,7,9,3,1,4,1,1,2,172,200,372,
"campus students
Dorm (On-campus)",238,199,437,,1,1,17,9,26,10,6,16,63,41,104,2,2,6,4,10,3,,3,,1,1,337,263,600,
Categories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prepared by DARS, 30 Oct 13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
