Demographic Summary by College by Ethnicity/Gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First-Time In College Students (College Station),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
College Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2013,White Only,,,American Indian Only,,,Asian Only,,,Black Only + 2 or more/1 Black,,,Hispanic or Latino of any Race,,,Native Hawaii Only,,2 or More/Excludin g Black,,,International,,,Unknown or Not Reported,,,Grand Total,,,
,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,426,83,509,,,,9,4,13,43,24,67,137,56,193,,,10,5,15,,1,1,,,,625,173,798,
TAMU Age                <18,1,,1,,,,,,,1,,1,,,,,,,,,,,,,,,2,,2,
18-21,425,82,507,,,,9,4,13,42,24,66,137,55,192,,,10,5,15,,1,1,,,,623,171,794,
22-25,,1,1,,,,,,,,,,,1,1,,,,,,,,,,,,,2,2,
Classification/Deg  Freshman,394,78,472,,,,9,4,13,43,24,67,121,55,176,,,10,5,15,,1,1,,,,577,167,744,
"ree Objective
Sophomore",31,5,36,,,,,,,,,,12,,12,,,,,,,,,,,,43,5,48,
Junior,1,,1,,,,,,,,,,4,1,5,,,,,,,,,,,,5,1,6,
Senior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuition Status          Resident Tuition,414,82,496,,,,9,4,13,42,21,63,133,56,189,,,10,4,14,,,,,,,608,167,775,
Non-Resident Tuition,8,1,9,,,,,,,,3,3,1,,1,,,,1,1,,1,1,,,,9,6,15,
Tuition Exemption/Waiver,4,,4,,,,,,,1,,1,3,,3,,,,,,,,,,,,8,,8,
Residency Status     Texas Resident,414,82,496,,,,9,4,13,42,21,63,133,56,189,,,10,4,14,,,,,,,608,167,775,
"Non-TX, US Resident",12,1,13,,,,,,,1,3,4,3,,3,,,,1,1,,,,,,,16,5,21,
"Non-TX, Non-US Resident",,,,,,,,,,,,,1,,1,,,,,,,1,1,,,,1,1,2,
SCH Categories       < 6 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-8 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-11 SCH,2,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,2,
12-14 SCH,257,63,320,,,,4,2,6,29,18,47,71,35,106,,,8,2,10,,1,1,,,,369,121,490,
15-17 SCH,166,19,185,,,,5,2,7,14,6,20,66,21,87,,,2,3,5,,,,,,,253,51,304,
>17 SCH,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,
Ft/Pt:  TAMU           Less Than Half Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Status
Half-Time",2,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,2,
Full-Time,424,83,507,,,,9,4,13,43,24,67,137,56,193,,,10,5,15,,1,1,,,,623,173,796,
Top 10% Texas         No,152,35,187,,,,1,3,4,7,9,16,20,12,32,,,4,2,6,,1,1,,,,184,62,246,
Yes,274,48,322,,,,8,1,9,36,15,51,117,44,161,,,6,3,9,,,,,,,441,111,552,
First Generation      No,350,61,411,,,,3,2,5,15,7,22,45,17,62,,,9,1,10,,,,,,,422,88,510,
Unknown,8,8,16,,,,,,,6,6,12,10,3,13,,,,,,,1,1,,,,24,18,42,
Yes,68,14,82,,,,6,2,8,22,11,33,82,36,118,,,1,4,5,,,,,,,179,67,246,
Dorm / Off-              Off-campus,140,44,184,,,,4,2,6,10,10,20,36,18,54,,,2,2,4,,1,1,,,,192,77,269,
"campus students
Dorm (On-campus)",286,39,325,,,,5,2,7,33,14,47,101,38,139,,,8,3,11,,,,,,,433,96,529,
Categories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prepared by DARS, 30 Oct 13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
