Demographic Summary by College by Ethnicity/Gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First-Time In College Students (College Station),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
College Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2013,White Only,,,American Indian Only,,,Asian Only,,,Black Only + 2 or more/1 Black,,,Hispanic or Latino of any Race,,,Native Hawaii Only,,2 or More/Excludin g Black,,,International,,,Unknown or Not Reported,,,Grand Total,,,
,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,253,286,539,2,2,4,75,69,144,49,26,75,213,185,398,1,1,16,15,31,8,18,26,,4,4,616,606,"1,222",
TAMU Age                <18,4,2,6,,,,1,,1,,,,2,,2,,,,1,1,,,,,,,7,3,10,
18-21,249,283,532,2,2,4,74,69,143,49,26,75,211,185,396,1,1,16,14,30,8,18,26,,4,4,609,602,"1,211",
22-25,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
Classification/Deg  Freshman,233,264,497,1,2,3,66,63,129,47,24,71,192,162,354,1,1,14,15,29,8,18,26,,3,3,561,552,"1,113",
"ree Objective
Sophomore",17,16,33,,,,7,5,12,,1,1,17,13,30,,,2,,2,,,,,1,1,43,36,79,
Junior,3,6,9,1,,1,1,1,2,2,1,3,4,10,14,,,,,,,,,,,,11,18,29,
Senior,,,,,,,1,,1,,,,,,,,,,,,,,,,,,1,,1,
Tuition Status          Resident Tuition,242,266,508,2,2,4,72,66,138,49,23,72,212,181,393,1,1,16,13,29,,,,,1,1,593,553,"1,146",
Non-Resident Tuition,5,6,11,,,,3,1,4,,,,1,,1,,,,,,8,14,22,,2,2,17,23,40,
Tuition Exemption/Waiver,6,14,20,,,,,2,2,,3,3,,4,4,,,,2,2,,4,4,,1,1,6,30,36,
Residency Status     Texas Resident,242,267,509,2,2,4,72,67,139,49,23,72,212,182,394,1,1,16,13,29,,,,,1,1,593,556,"1,149",
"Non-TX, US Resident",11,19,30,,,,3,1,4,,3,3,1,3,4,,,,2,2,,,,,2,2,15,30,45,
"Non-TX, Non-US Resident",,,,,,,,1,1,,,,,,,,,,,,8,18,26,,1,1,8,20,28,
SCH Categories       < 6 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-8 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-11 SCH,1,,1,,,,,,,,1,1,,,,,,,,,,,,,,,1,1,2,
12-14 SCH,113,106,219,,2,2,27,27,54,26,8,34,85,54,139,,,7,7,14,4,8,12,,2,2,262,214,476,
15-17 SCH,137,179,316,2,,2,45,42,87,23,17,40,127,131,258,1,1,8,8,16,3,9,12,,2,2,345,389,734,
>17 SCH,2,1,3,,,,3,,3,,,,1,,1,,,1,,1,1,1,2,,,,8,2,10,
Ft/Pt:  TAMU           Less Than Half Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Status
Half-Time",1,,1,,,,,,,,1,1,,,,,,,,,,,,,,,1,1,2,
Full-Time,252,286,538,2,2,4,75,69,144,49,25,74,213,185,398,1,1,16,15,31,8,18,26,,4,4,615,605,"1,220",
Top 10% Texas         No,74,130,204,2,,2,31,34,65,10,10,20,29,47,76,,,6,11,17,7,15,22,,3,3,159,250,409,
Yes,179,156,335,,2,2,44,35,79,39,16,55,184,138,322,1,1,10,4,14,1,3,4,,1,1,457,356,813,
First Generation      No,183,221,404,2,1,3,36,44,80,18,8,26,64,63,127,,,13,13,26,,1,1,,2,2,316,353,669,
Unknown,9,21,30,,,,10,9,19,5,7,12,18,10,28,,,1,,1,8,17,25,,2,2,51,66,117,
Yes,61,44,105,,1,1,29,16,45,26,11,37,131,112,243,1,1,2,2,4,,,,,,,249,187,436,
Dorm / Off-              Off-campus,83,113,196,2,,2,32,37,69,13,8,21,59,55,114,,,7,5,12,5,8,13,,2,2,201,228,429,
"campus students
Dorm (On-campus)",170,173,343,,2,2,43,32,75,36,18,54,154,130,284,1,1,9,10,19,3,10,13,,2,2,415,378,793,
Categories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prepared by DARS, 30 Oct 13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
