Demographic Summary by College by Ethnicity/Gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First-Time Undergraduate Transfer Students  (College Station),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
College Business Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2013,White Only,,,American Indian Only,,,Asian Only,,,Black Only + 2 or more/1 Black,,,Hispanic or Latino of any Race,,,Native Hawaii Only,,2 or More/Excluding Black,,,International,,,Unknown or Not Reported,,,Grand Total,,,
,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,20,36,56,,,,1,4,5,1,,1,9,14,23,,,,,,2,6,8,,,,33,60,93,
TAMU Age               <18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-21,13,26,39,,,,1,1,2,,,,5,8,13,,,,,,2,4,6,,,,21,39,60,
22-25,5,5,10,,,,,2,2,1,,1,3,5,8,,,,,,,2,2,,,,9,14,23,
26-30,,3,3,,,,,1,1,,,,1,1,2,,,,,,,,,,,,1,5,6,
31-39,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,2,2,
40+,2,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,2,
Classification/Deg  Freshman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sophomore,5,13,18,,,,,1,1,,,,4,5,9,,,,,,1,2,3,,,,10,21,31,
Junior,12,21,33,,,,1,3,4,1,,1,5,9,14,,,,,,1,4,5,,,,20,37,57,
Senior,3,2,5,,,,,,,,,,,,,,,,,,,,,,,,3,2,5,
Tuition Status          Resident Tuition,19,36,55,,,,1,3,4,1,,1,9,13,22,,,,,,,,,,,,30,52,82,
Non-Resident Tuition,1,,1,,,,,,,,,,,,,,,,,,2,3,5,,,,3,3,6,
Tuition Exemption/Waiver,,,,,,,,1,1,,,,,1,1,,,,,,,3,3,,,,,5,5,
Residency Status    Texas Resident,19,36,55,,,,1,3,4,1,,1,9,14,23,,,,,,,,,,,,30,53,83,
"Non-TX, US Resident",1,,1,,,,,1,1,,,,,,,,,,,,,,,,,,1,1,2,
"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,,,,,2,6,8,,,,2,6,8,
SCH Categories       < 6 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-8 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-11 SCH,1,,1,,,,,1,1,,,,,,,,,,,,,,,,,,1,1,2,
12-14 SCH,14,29,43,,,,1,2,3,,,,7,12,19,,,,,,,1,1,,,,22,44,66,
15-17 SCH,5,7,12,,,,,1,1,1,,1,2,2,4,,,,,,2,4,6,,,,10,14,24,
>17 SCH,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,
Ft/Pt:  TAMU          Less Than Half Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Half-Time,1,,1,,,,,1,1,,,,,,,,,,,,,,,,,,1,1,2,
Full-Time,19,36,55,,,,1,3,4,1,,1,9,14,23,,,,,,2,6,8,,,,32,59,91,
Top 10% Texas        No,15,35,50,,,,1,4,5,1,,1,7,14,21,,,,,,2,6,8,,,,26,59,85,
"High School
Yes",5,1,6,,,,,,,,,,2,,2,,,,,,,,,,,,7,1,8,
First Generation     No,14,27,41,,,,,2,2,,,,4,6,10,,,,,,,,,,,,18,35,53,
Unknown,,,,,,,,,,,,,,,,,,,,,2,6,8,,,,2,6,8,
Yes,6,9,15,,,,1,2,3,1,,1,5,8,13,,,,,,,,,,,,13,19,32,
Dorm / Off-             Off-campus,20,36,56,,,,1,4,5,1,,1,9,13,22,,,,,,2,5,7,,,,33,58,91,
Dorm (On-campus),,,,,,,,,,,,,,1,1,,,,,,,1,1,,,,,2,2,
Categories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ree Objective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
campus students,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prepared by DARS, 30 Oct 13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
