Demographic Summary by College by Ethnicity/Gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First-Time Undergraduate Transfer Students  (College Station),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
College Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2013,White Only,,,American Indian Only,,,Asian Only,,,Black Only + 2 or more/1 Black,,,Hispanic or Latino of any Race,,,Native Hawaii Only,,2 or More/Excluding Black,,,International,,,Unknown or Not Reported,,,Grand Total,,,
,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,18,137,155,,1,1,5,19,24,1,8,9,6,48,54,,,1,4,5,9,31,40,,,,40,248,288,
TAMU Age               <18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-21,15,100,115,,,,,15,15,,7,7,4,34,38,,,,4,4,6,19,25,,,,25,179,204,
22-25,1,21,22,,1,1,5,2,7,1,,1,2,11,13,,,1,,1,3,9,12,,,,13,44,57,
26-30,2,7,9,,,,,2,2,,,,,1,1,,,,,,,3,3,,,,2,13,15,
31-39,,6,6,,,,,,,,,,,2,2,,,,,,,,,,,,,8,8,
40+,,3,3,,,,,,,,1,1,,,,,,,,,,,,,,,,4,4,
Classification/Deg  Freshman,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,1,
Sophomore,7,56,63,,,,3,6,9,,3,3,1,13,14,,,,2,2,1,10,11,,,,12,90,102,
Junior,10,71,81,,1,1,2,12,14,1,3,4,5,27,32,,,1,2,3,5,17,22,,,,24,133,157,
Senior,1,10,11,,,,,1,1,,1,1,,8,8,,,,,,3,4,7,,,,4,24,28,
Tuition Status          Resident Tuition,18,128,146,,1,1,5,15,20,1,8,9,6,47,53,,,1,4,5,,,,,,,31,203,234,
Non-Resident Tuition,,4,4,,,,,,,,,,,,,,,,,,6,13,19,,,,6,17,23,
Tuition Exemption/Waiver,,5,5,,,,,4,4,,,,,1,1,,,,,,3,18,21,,,,3,28,31,
Residency Status    Texas Resident,18,131,149,,1,1,5,18,23,1,8,9,6,47,53,,,1,4,5,,,,,,,31,209,240,
"Non-TX, US Resident",,6,6,,,,,1,1,,,,,1,1,,,,,,,,,,,,,8,8,
"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,,,,,9,31,40,,,,9,31,40,
SCH Categories       < 6 SCH,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
6-8 SCH,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
9-11 SCH,3,4,7,,,,1,,1,,1,1,,1,1,,,,,,,1,1,,,,4,7,11,
12-14 SCH,12,97,109,,,,3,15,18,,5,5,4,31,35,,,,4,4,3,16,19,,,,22,168,190,
15-17 SCH,3,34,37,,1,1,1,4,5,1,2,3,2,16,18,,,,,,5,9,14,,,,12,66,78,
>17 SCH,,,,,,,,,,,,,,,,,,1,,1,1,5,6,,,,2,5,7,
Ft/Pt:  TAMU          Less Than Half Time,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
Half-Time,3,5,8,,,,1,,1,,1,1,,1,1,,,,,,,1,1,,,,4,8,12,
Full-Time,15,131,146,,1,1,4,19,23,1,7,8,6,47,53,,,1,4,5,9,30,39,,,,36,239,275,
Top 10% Texas        No,12,117,129,,1,1,5,16,21,1,7,8,4,36,40,,,1,4,5,9,31,40,,,,32,212,244,
"High School
Yes",6,20,26,,,,,3,3,,1,1,2,12,14,,,,,,,,,,,,8,36,44,
First Generation     No,13,93,106,,,,3,10,13,1,3,4,1,18,19,,,1,3,4,,,,,,,19,127,146,
Unknown,1,7,8,,1,1,2,3,5,,2,2,,3,3,,,,1,1,9,31,40,,,,12,48,60,
Yes,4,37,41,,,,,6,6,,3,3,5,27,32,,,,,,,,,,,,9,73,82,
Dorm / Off-             Off-campus,18,132,150,,,,5,15,20,1,5,6,6,42,48,,,1,4,5,9,26,35,,,,40,224,264,
Dorm (On-campus),,5,5,,1,1,,4,4,,3,3,,6,6,,,,,,,5,5,,,,,24,24,
Categories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ree Objective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
campus students,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
