Demographic Summary,,,,,,,,,
First Generation Students (College Station),,,,,,,,,
Fall 2013,First Generation Undergraduates,,,,,,Grand Total,,
,Unknown,,Yes,,No,,#,%,
,#,%,#,%,#,%,,,
Headcount Total,"1,791",4.3%,"10,980",26.1%,"29,258",69.6%,"42,029",100.0%,
Gender                     Female,705,3.5%,"5,714",28.1%,"13,895",68.4%,"20,314",100.0%,
Male,"1,086",5.0%,"5,266",24.3%,"15,363",70.7%,"21,715",100.0%,
Ethnicity                  White Only,581,2.1%,"5,128",18.1%,"22,566",79.8%,"28,275",100.0%,
American Indian Only,4,3.3%,23,19.2%,93,77.5%,120,100.0%,
Asian Only,122,5.7%,698,32.5%,"1,326",61.8%,"2,146",100.0%,
Black Only + 2 or more/1 Black,96,7.0%,637,46.5%,637,46.5%,"1,370",100.0%,
Hispanic or Latino of any Race,289,3.5%,"4,265",51.2%,"3,777",45.3%,"8,331",100.0%,
Native Hawaii Only,1,2.5%,9,22.5%,30,75.0%,40,100.0%,
2 or More/Excluding Black,24,2.4%,206,20.6%,772,77.0%,"1,002",100.0%,
International,639,96.8%,6,.9%,15,2.3%,660,100.0%,
Unknown or Not Reported,35,41.2%,8,9.4%,42,49.4%,85,100.0%,
TAMU Age              <18,13,19.7%,11,16.7%,42,63.6%,66,100.0%,
Categories               18-21,"1,317",4.0%,"8,240",25.3%,"23,031",70.7%,"32,588",100.0%,
22-25,401,4.7%,"2,344",27.3%,"5,842",68.0%,"8,587",100.0%,
26-30,46,9.0%,222,43.6%,241,47.3%,509,100.0%,
31-39,8,4.1%,107,55.4%,78,40.4%,193,100.0%,
40+,6,7.0%,56,65.1%,24,27.9%,86,100.0%,
College                     Agriculture,224,3.5%,"1,984",31.4%,"4,109",65.0%,"6,317",100.0%,
Architecture,69,4.2%,503,30.7%,"1,068",65.1%,"1,640",100.0%,
Business Admin,139,3.0%,922,19.7%,"3,631",77.4%,"4,692",100.0%,
Education,129,2.7%,"1,313",27.2%,"3,390",70.2%,"4,832",100.0%,
Engineering,533,5.8%,"1,970",21.3%,"6,750",72.9%,"9,253",100.0%,
Geosciences,53,6.0%,236,26.7%,594,67.3%,883,100.0%,
Liberal Arts,214,3.2%,"1,973",29.1%,"4,601",67.8%,"6,788",100.0%,
Science,200,6.8%,865,29.6%,"1,862",63.6%,"2,927",100.0%,
Veterinary Medicine,61,3.3%,524,28.2%,"1,273",68.5%,"1,858",100.0%,
General Studies,92,3.3%,690,25.0%,"1,978",71.7%,"2,760",100.0%,
Other - Special Populations,77,97.5%,,,2,2.5%,79,100.0%,
Enrollment              1st Time in College,525,5.4%,"2,555",26.3%,"6,630",68.3%,"9,710",100.0%,
Status                       1st Time Transfer,173,8.3%,597,28.7%,"1,307",62.9%,"2,077",100.0%,
Readmitted,5,1.2%,115,28.5%,283,70.2%,403,100.0%,
Continuing,"1,088",3.6%,"7,713",25.8%,"21,038",70.5%,"29,839",100.0%,
Tuition Status         Resident Tuition,"1,095",2.7%,"10,782",26.9%,"28,150",70.3%,"40,027",100.0%,
Non-Resident Tuition,472,48.2%,74,7.6%,433,44.2%,979,100.0%,
Tuition Exemption/Waiver,224,21.9%,124,12.1%,675,66.0%,"1,023",100.0%,
Residency Status    Texas Resident,"1,104",2.8%,"10,786",26.9%,"28,203",70.3%,"40,093",100.0%,
"Non-TX, US Resident",44,3.5%,190,15.1%,"1,021",81.4%,"1,255",100.0%,
"Non-TX, Non-US Resident",643,94.4%,4,.6%,34,5.0%,681,100.0%,
SCH Categories      < 6 SCH,79,4.0%,442,22.3%,"1,462",73.7%,"1,983",100.0%,
6-8 SCH,29,2.8%,293,28.5%,705,68.6%,"1,027",100.0%,
9-11 SCH,32,2.5%,309,24.5%,922,73.0%,"1,263",100.0%,
12-14 SCH,871,4.0%,"5,788",26.5%,"15,186",69.5%,"21,845",100.0%,
15-17 SCH,714,4.7%,"3,927",26.0%,"10,478",69.3%,"15,119",100.0%,
>17 SCH,66,8.3%,221,27.9%,505,63.8%,792,100.0%,
Ft/Pt:  TAMU         Less Than Half Time,79,4.0%,442,22.3%,"1,462",73.7%,"1,983",100.0%,
Status                       Half-Time,61,2.7%,602,26.3%,"1,627",71.0%,"2,290",100.0%,
Full-Time,"1,651",4.4%,"9,936",26.3%,"26,169",69.3%,"37,756",100.0%,
Top 10% Texas       No,"1,209",5.3%,"4,616",20.3%,"16,936",74.4%,"22,761",100.0%,
High School            Yes,582,3.0%,"6,364",33.0%,"12,322",64.0%,"19,268",100.0%,
"Prepared by DARS, 01 Nov 13",,,,,,,,,
