Feeder Patterns:  Country,,,,,,,,
(College Station),,,,,,,,
Country,,,,,,,,
,Undergraduate,Masters,,Doctoral,,Professional,Total,
Afghanistan,1,,,,,1,,
Albania,1,,,1,,2,,
Angola,1,,,,,1,,
Antigua,1,,,,,1,,
Argentina,1,3,,2,,6,,
Australia,7,,,,,7,,
Austria,1,1,,,,2,,
Azerbaijan,2,,,2,,4,,
Bahrain,1,3,,2,,6,,
Bangladesh,1,7,,14,,22,,
Belarus,1,,,1,,2,,
Belgium,2,,,,,2,,
Belize,1,,,1,,2,,
Bolivia,17,1,,,,18,,
Brazil,10,6,,21,,37,,
Bulgaria,2,,,,,2,,
Cambodia,1,,,,,1,,
Cameroon,5,2,,1,,8,,
Canada,18,9,,20,,47,,
Chad,1,,,,,1,,
Chile,2,,,6,,8,,
China,147,639,,816,,"1,602",,
Colombia,6,14,,30,,50,,
Costa Rica,5,1,,3,,9,,
Croatia,1,,,,,1,,
Cuba,2,,,,,2,,
Cyprus,1,1,,,,2,,
Czech,1,1,,1,,3,,
Denmark,3,,,1,,4,,
Dominican,1,,,,,1,,
Ecuador,6,6,,13,,25,,
Egypt,7,9,,23,,39,,
El Salvador,2,2,,5,,9,,
Equatorial,2,,,,,2,,
Ethiopia,1,,,,,1,,
France,6,22,,3,,31,,
Georgia,1,,,1,,2,,
Germany,10,19,,5,,34,,
Ghana,2,11,,2,,15,,
Greece,1,2,,4,,7,,
Grenada,1,,,1,,2,,
Guatemala,11,5,,4,,20,,
Honduras,4,3,,2,,9,,
Hong Kong,3,2,,10,,15,,
Hungary,1,,,,,1,,
India,36,580,,258,,874,,
Indonesia,19,13,,9,,41,,
Iran,2,37,,131,,170,,
