Demographic Summary by Classification,,,,,,
First-Professional Students College Station),,,,,,
Fall 2013,V1: 1st Year Veterinary,V2: 2nd Year Veterinary,V3: 3rd Year Veterinary,V4: 4th Year Veterinary,Grand Total,
Head Count                       Total,133,131,130,133,527,
College                                Veterinary Medicine,133,131,130,133,527,
Gender                                Female,102,101,104,97,404,
Male,31,30,26,36,123,
Ethnicity                             White Only,107,117,109,118,451,
American Indian Only,,2,1,,3,
Asian Only,7,2,7,2,18,
Black Only + 2 or more/1 Black,2,,2,,4,
Hispanic or Latino of any Race,12,9,9,7,37,
2 or More/Excluding Black,3,,1,,4,
Unknown or Not Reported,2,1,1,6,10,
TAMU Age Categories     18-21,21,,,,21,
22-25,90,96,77,51,314,
26-30,15,28,45,71,159,
31-39,5,4,8,9,26,
40+,2,3,,2,7,
Enrollment Status            1st Time Professional,132,,,,132,
Continuing,1,131,130,133,395,
Tuition Status                   Resident Tuition,129,124,126,121,500,
Non-Resident Tuition,2,1,1,1,5,
Tuition Exemption/Waiver,2,6,3,11,22,
Residency Status              Texas Resident,129,125,126,122,502,
"Non-TX, US Resident",4,6,4,11,25,
SCH Categories                 15-17 SCH,,,,2,2,
>17 SCH,133,131,130,131,525,
Ft/Pt:  TAMU Status       Full-Time,133,131,130,133,527,
Top 10% Texas High        No,86,111,123,133,453,
School                                 Yes,47,20,7,,74,
First Generation               No,64,32,13,4,113,
Unknown,55,88,109,126,378,
Yes,14,11,8,3,36,
"Table 9     Prepared by DARS, 03 Dec 13",,,,,,
