Headcount by Department by Level / Degree Objective,,,,,,
(College Station),,,,,,
Fall 2013,Undergraduate,Masters,Doctoral,Professional,Total,
G. Bush School  BUSH,,377,,,377,
of Govt                 Subtotal,,377,,,377,
Geosciences        ATMO,141,25,32,,198,
CLGE,149,2,,,151,
GEOG,222,49,47,,318,
GEPL,371,75,64,,510,
OCNG,,17,49,,66,
Subtotal,883,168,192,,"1,243",
Liberal Arts        ANTH,183,24,87,,294,
CLLA,31,,,,31,
COMM,"1,064",10,44,,"1,118",
ECON,754,150,81,,985,
ENGL,587,16,69,,672,
HISP,66,,40,,106,
HIST,621,5,62,,688,
INTS,786,,,,786,
PHUM,94,5,20,,119,
POLS,759,1,46,,806,
PRFM,76,9,,,85,
PSYC,"1,311",7,99,,"1,417",
SOCI,456,12,83,,551,
Subtotal,"6,788",239,631,,"7,658",
Science                BIOL,"1,636",9,95,,"1,740",
CHEM,361,5,252,,618,
CLSC,34,,,,34,
MATH,593,43,120,,756,
PHYS,303,15,171,,489,
STAT,,113,60,,173,
Subtotal,"2,927",185,698,,"3,810",
Veterinary          CLVM,"1,858",54,7,527,"2,446",
Medicine             VIBS,,35,29,,64,
VLCS,,8,9,,17,
VSCS,,4,12,,16,
VTPB,,8,36,,44,
VTPP,,5,23,,28,
Subtotal,"1,858",114,116,527,"2,615",
General               GEST,"2,760",,,,"2,760",
Studies                Subtotal,"2,760",,,,"2,760",
Other - Special   CLMD,,5,,,5,
Populations        MARB,1,,1,,2,
MARS,1,5,,,6,
SABX,77,30,,,107,
SRPH,,16,,,16,
Subtotal,79,56,1,,136,
Total,42029,5246,4647,527,52449,
"Prepared by DARS, 04 Dec 13",,,,,,
