Headcount by Department by Classification/Degree Objective by Ethnicity,,,,,,,,,,,,,,
(College Station),,,,,,,,,,,,,,
Ethnicity American Indian Only,,,,,,,,,,,,,,
Fall 2013,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,,
Geosciences,ATMO,,,,,,,,,,,,,
CLGE,,,,,1,1,,,,,,,1,
GEOG,,,,1,1,2,,,,,,,2,
GEPL,,,,,,,,,,,,,,
OCNG,,,,,,,,,1,1,,,1,
Subtotal,,,,1,2,3,,,1,1,,,4,
Liberal Arts,ANTH,,,1,,1,,,1,1,,,2,
CLLA,,,,,,,,,,,,,,
COMM,,,2,1,1,4,,,,,,,4,
ECON,,,,2,1,3,,,,,,,3,
ENGL,,1,,1,2,4,,,,,,,4,
HISP,,,,,,,,,,,,,,
HIST,,,,1,,1,,,,,,,1,
INTS,,,,1,1,2,,,,,,,2,
PHUM,,,,,,,,,,,,,,
POLS,,,,,2,2,,,,,,,2,
PRFM,,,,,,,,,,,,,,
PSYC,,1,2,2,,5,,,,,,,5,
SOCI,,,,,2,2,,,1,1,,,3,
Subtotal,,2,4,9,9,24,,,2,2,,,26,
Science,BIOL,2,3,1,2,8,,,,,,,8,
CHEM,,,,1,1,2,,,,,,,2,
CLSC,,,,,,,,,,,,,,
MATH,,,,,,,,,,,,,,
PHYS,,1,1,,,2,,,1,1,,,3,
STAT,,,,,,,,,,,,,,
Subtotal,,3,4,2,3,12,,,1,1,,,13,
Veterinary,CLVM,1,1,,,2,,,,,3,3,5,
Medicine,VIBS,,,,,,,,,,,,,
VLCS,,,,,,,,,,,,,,
VSCS,,,,,,,,,,,,,,
VTPB,,,,,,,,,,,,,,
VTPP,,,,,,,,,,,,,,
Subtotal,,1,1,,,2,,,,,3,3,5,
General,GEST,6,3,,,9,,,,,,,9,
Studies,Subtotal,6,3,,,9,,,,,,,9,
University,Total,20,29,31,40,120,6,6,7,7,3,3,136,
"Prepared by DARS, 04 Dec 13",,,,,,,,,,,,,,
