Headcount by Department by Classification/Degree Objective by Ethnicity,,,,,,,,,,,,,
(College Station),,,,,,,,,,,,,
Ethnicity Asian Only,,,,,,,,,,,,,
Fall 2013,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,,
Agriculture         AGEC,3,2,,1,6,2,2,5,5,,,13,
ALEC,,2,,1,3,,,3,3,,,6,
ANSC,4,1,1,1,7,,,,,,,7,
BAEN,4,1,4,1,10,3,3,,,,,13,
BCBP,19,12,11,23,65,,,2,2,,,67,
CLAG,1,2,,,3,,,,,,,3,
ENTO,2,1,2,5,10,1,1,1,1,,,12,
ESSM,2,,1,,3,1,1,1,1,,,5,
HRSC,,1,1,1,3,,,1,1,,,4,
NFSC,7,8,13,19,47,1,1,,,,,48,
PLPM,4,7,8,7,26,,,2,2,,,28,
POSC,,,1,,1,,,,,,,1,
RPTS,,2,3,2,7,1,1,2,2,,,10,
SCSC,,2,3,,5,1,1,2,2,,,8,
WFSC,,1,2,1,4,,,,,,,4,
Subtotal,46,42,50,62,200,10,10,19,19,,,229,
Architecture       ARCH,3,3,6,3,15,2,2,2,2,,,19,
CLAR,2,2,2,1,7,,,,,,,7,
COSC,2,2,2,2,8,2,2,,,,,10,
LAUP,,,3,1,4,,,2,2,,,6,
VIZA,,1,6,5,12,7,7,,,,,19,
Subtotal,7,8,19,12,46,11,11,4,4,,,61,
Business              ACCT,,1,17,21,39,6,6,1,1,,,46,
Admin                  CLBA,56,35,15,5,111,36,36,,,,,147,
FINC,,1,23,17,41,6,6,1,1,,,48,
INFO,,,18,26,44,1,1,1,1,,,46,
MGMT,,,2,4,6,4,4,2,2,,,12,
MKTG,,,4,4,8,4,4,,,,,12,
Subtotal,56,37,79,77,249,57,57,5,5,,,311,
Education           CLED,,,,,,,,,,,,,
EAHR,4,2,4,9,19,3,3,9,9,,,31,
EPSY,1,,1,1,3,3,3,8,8,,,14,
HLKN,8,19,26,27,80,4,4,4,4,,,88,
TLAC,1,5,2,3,11,4,4,2,2,,,17,
Subtotal,14,26,33,40,113,14,14,23,23,,,150,
Engineering        AERO,8,4,6,13,31,,,1,1,,,32,
BMEN,6,9,9,11,35,1,1,9,9,,,45,
CHEN,15,10,21,34,80,8,8,1,1,,,89,
CLEN,18,3,1,,22,,,4,4,,,26,
CSCE,17,19,19,22,77,9,9,4,4,,,90,
CVEN,14,8,12,11,45,8,8,6,6,,,59,
ECEN,22,25,25,49,121,14,14,9,9,,,144,
ETID,,7,16,17,40,2,2,,,,,42,
ISEN,4,6,10,19,39,4,4,3,3,,,46,
MEEN,5,10,12,29,56,6,6,9,9,,,71,
MSEN,,,,,,3,3,1,1,,,4,
NUEN,6,7,3,7,23,,,4,4,,,27,
PETE,13,11,6,18,48,19,19,3,3,,,70,
Subtotal,128,119,140,230,617,74,74,54,54,,,745,
G. Bush School  BUSH,,,,,,9,9,,,,,9,
of Govt                 Subtotal,,,,,,9,9,,,,,9,
