Headcount by Department by Classification/Degree Objective by Ethnicity,,,,,,,,,,,,,,
(College Station),,,,,,,,,,,,,,
Ethnicity Asian Only,,,,,,,,,,,,,,
Fall 2013,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,,
Geosciences,ATMO,1,1,,2,4,,,,,,,4,
CLGE,,1,,1,3,5,,,,,,,5,
GEOG,,,1,,3,4,2,2,1,1,,,7,
GEPL,,5,4,4,4,17,3,3,2,2,,,22,
OCNG,,,,,,,,,,,,,,
Subtotal,,7,6,5,12,30,5,5,3,3,,,38,
Liberal Arts,ANTH,,,3,1,4,,,4,4,,,8,
CLLA,,,,1,2,3,,,,,,,3,
COMM,,3,7,5,2,17,,,2,2,,,19,
ECON,,8,10,14,18,50,7,7,1,1,,,58,
ENGL,,,2,,6,8,1,1,1,1,,,10,
HISP,,,,,1,1,,,,,,,1,
HIST,,1,,8,2,11,,,,,,,11,
INTS,,10,2,9,7,28,,,,,,,28,
PHUM,,,2,3,,5,,,,,,,5,
POLS,,3,6,6,9,24,,,1,1,,,25,
PRFM,,,1,,1,2,,,,,,,2,
PSYC,,6,9,13,25,53,,,6,6,,,59,
SOCI,,3,4,1,5,13,,,1,1,,,14,
Subtotal,,34,43,63,79,219,8,8,16,16,,,243,
Science,BIOL,79,50,44,54,227,,,3,3,,,230,
CHEM,,19,11,12,13,55,1,1,11,11,,,67,
CLSC,,1,,,,1,,,,,,,1,
MATH,,25,7,5,11,48,1,1,2,2,,,51,
PHYS,,18,4,1,1,24,,,3,3,,,27,
STAT,,,,,,,18,18,1,1,,,19,
Subtotal,,142,72,62,79,355,20,20,20,20,,,395,
Veterinary,CLVM,77,36,24,55,192,7,7,,,18,18,217,
Medicine,VIBS,,,,,,5,5,,,,,5,
VLCS,,,,,,,,,,,,,,
VSCS,,,,,,,,,,,,,,
VTPB,,,,,,,,,2,2,,,2,
VTPP,,,,,,,,,2,2,,,2,
Subtotal,,77,36,24,55,192,12,12,4,4,18,18,226,
General,GEST,72,51,2,,125,,,,,,,125,
Studies,Subtotal,72,51,2,,125,,,,,,,125,
Other - Special,CLMD,,,,,,2,2,,,,,2,
Populations,MARB,,,,,,,,,,,,,
MARS,,,,,,,,,,,,,,
SABX,,,,,,,,,,,,,,
SRPH,,,,,,,,,,,,,,
Subtotal,,,,,,,2,2,,,,,2,
University,Total,583,440,477,646,"2,146",222,222,148,148,18,18,"2,534",
"Prepared by DARS, 04 Dec 13",,,,,,,,,,,,,,
