Headcount by Department by Classification/Degree Objective by Ethnicity,,,,,,,,,,,,,,
(College Station),,,,,,,,,,,,,,
Ethnicity International,,,,,,,,,,,,,,
Fall 2013,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,,
Agriculture,AGEC,2,,4,5,11,19,19,48,48,,,78,
ALEC,,,,,4,4,,,4,4,,,8,
ANSC,,,,1,1,2,,,12,12,,,14,
BAEN,,,3,2,3,8,14,14,29,29,,,51,
BCBP,,,1,2,8,11,1,1,66,66,,,78,
CLAG,,,2,2,,4,,,,,,,4,
ENTO,,1,,1,,2,2,2,18,18,,,22,
ESSM,,1,1,,,2,1,1,14,14,,,17,
HRSC,,,,,,,7,7,10,10,,,17,
NFSC,,1,,1,3,5,10,10,15,15,,,30,
PLPM,,7,,,,7,1,1,10,10,,,18,
POSC,,,,1,1,2,3,3,7,7,,,12,
RPTS,,,1,1,,2,6,6,23,23,,,31,
SCSC,,,2,1,,3,10,10,32,32,,,45,
WFSC,,,,,,,3,3,16,16,,,19,
Subtotal,,12,10,16,25,63,77,77,304,304,,,444,
Architecture,ARCH,,,1,4,5,52,52,43,43,,,100,
CLAR,,,,,1,1,,,,,,,1,
COSC,,,,,1,1,52,52,,,,,53,
LAUP,,2,,1,1,4,64,64,36,36,,,104,
VIZA,,,1,,,1,16,16,,,,,17,
Subtotal,,2,1,2,7,12,184,184,79,79,,,275,
Business,ACCT,,,6,5,11,8,8,,,,,19,
Admin,CLBA,12,3,3,,18,37,37,,,,,55,
FINC,,,2,8,5,15,4,4,10,10,,,29,
INFO,,,1,,4,5,133,133,6,6,,,144,
MGMT,,,,1,1,2,,,4,4,,,6,
MKTG,,,,,,,9,9,8,8,,,17,
Subtotal,,12,6,18,15,51,191,191,28,28,,,270,
Education,CLED,,,,,,,,,,,,,
EAHR,,,1,,2,3,15,15,22,22,,,40,
EPSY,,,,,1,1,12,12,37,37,,,50,
HLKN,,2,3,2,3,10,21,21,26,26,,,57,
TLAC,,1,,,1,2,31,31,25,25,,,58,
Subtotal,,3,4,2,7,16,79,79,110,110,,,205,
Engineering,AERO,1,,5,3,9,6,6,32,32,,,47,
BMEN,,,,5,2,7,1,1,27,27,,,35,
CHEN,,2,2,2,14,20,42,42,74,74,,,136,
CLEN,,,,,,,,,1,1,,,1,
CSCE,,4,8,7,23,42,141,141,86,86,,,269,
CVEN,,3,2,7,11,23,146,146,135,135,,,304,
ECEN,,9,6,16,33,64,250,250,268,268,,,582,
ETID,,,,3,12,15,,,,,,,15,
ISEN,,2,9,12,21,44,129,129,35,35,,,208,
MEEN,,6,2,5,12,25,88,88,189,189,,,302,
MSEN,,,,,,,4,4,60,60,,,64,
NUEN,,,,3,9,12,9,9,21,21,,,42,
PETE,,4,6,12,27,49,109,109,105,105,,,263,
Subtotal,,31,35,77,167,310,925,925,"1,033","1,033",,,"2,268",
