Headcount by Department by Classification/Degree Objective by Ethnicity,,,,,,,,,,,,,
(College Station),,,,,,,,,,,,,
Ethnicity International,,,,,,,,,,,,,
Fall 2013,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,,
G. Bush School  BUSH,,,,,,37,37,,,,,37,
of Govt                 Subtotal,,,,,,37,37,,,,,37,
Geosciences        ATMO,,1,,,1,7,7,17,17,,,25,
CLGE,1,1,,2,4,,,,,,,4,
GEOG,1,,,1,2,11,11,18,18,,,31,
GEPL,5,2,6,7,20,13,13,34,34,,,67,
OCNG,,,,,,2,2,23,23,,,25,
Subtotal,7,4,6,10,27,33,33,92,92,,,152,
Liberal Arts        ANTH,,,,,,2,2,12,12,,,14,
CLLA,,,,,,,,,,,,,
COMM,,1,,,1,,,7,7,,,8,
ECON,3,1,11,9,24,130,130,63,63,,,217,
ENGL,,,,,,3,3,20,20,,,23,
HISP,1,,,,1,,,14,14,,,15,
HIST,,1,,1,2,,,3,3,,,5,
INTS,1,1,1,3,6,,,,,,,6,
PHUM,,,,,,,,,,,,,
POLS,1,1,1,2,5,,,9,9,,,14,
PRFM,,,,,,1,1,,,,,1,
PSYC,,,3,2,5,,,16,16,,,21,
SOCI,1,,,2,3,1,1,7,7,,,11,
Subtotal,7,5,16,19,47,137,137,151,151,,,335,
Science                BIOL,6,2,4,,12,3,3,46,46,,,61,
CHEM,3,3,3,1,10,1,1,132,132,,,143,
CLSC,,,,,,,,,,,,,
MATH,7,4,2,4,17,7,7,75,75,,,99,
PHYS,12,1,1,1,15,9,9,84,84,,,108,
STAT,,,,,,5,5,43,43,,,48,
Subtotal,28,10,10,6,54,25,25,380,380,,,459,
Veterinary           CLVM,1,,1,1,3,,,3,3,,,6,
Medicine             VIBS,,,,,,4,4,12,12,,,16,
VLCS,,,,,,,,2,2,,,2,
VSCS,,,,,,,,7,7,,,7,
VTPB,,,,,,,,9,9,,,9,
VTPP,,,,,,,,9,9,,,9,
Subtotal,1,,1,1,3,4,4,42,42,,,49,
General                GEST,1,3,,,4,,,,,,,4,
Studies                 Subtotal,1,3,,,4,,,,,,,4,
Other - Special   CLMD,,,,,,1,1,,,,,1,
Populations        MARB,,,,,,,,,,,,,
MARS,,,,,,,,,,,,,
SABX,1,18,44,10,73,30,30,,,,,103,
SRPH,,,,,,3,3,,,,,3,
Subtotal,1,18,44,10,73,34,34,,,,,107,
University           Total,105,96,192,267,660,"1,726","1,726","2,219","2,219",,,"4,605",
"Prepared by DARS, 04 Dec 13",,,,,,,,,,,,,
