Headcount by Major by Level/Degree Objective by Entry Status,,,,,,,,,,,,,,,
(College Station),,,,,,,,,,,,,,,
Fall 2013,,Undergraduate,,,,Masters,,,Doctoral,,,Professional,,Total,
,,1st Time in College,1st Time Transfer,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,1st Time Professional,Continuing,,
Engineering,AERL,230,16,1,113,,,,,,,,,360,
AERO,,,,,349,11,,25,11,,64,,,460,
BIOT,,,,,,20,,19,,,,,,39,
BMEL,,122,,1,42,,,,,,,,,165,
BMEN,,,10,2,241,5,,10,21,,74,,,363,
CECL,,113,21,,84,,,,,,,,,218,
CECN,,,,1,151,32,,21,8,,35,,,248,
CEEL,,55,8,2,54,,,,,,,,,119,
CEEN,,,,,108,38,,58,5,,37,,,246,
CHEL,,190,26,1,33,,,,,,,,,250,
CHEN,,,1,,462,6,,9,16,,83,,,577,
CPSC,,1,2,2,287,55,,67,17,,78,,,509,
CPSL,,90,26,8,130,,,,,,,,,254,
CVEL,,254,2,1,59,,,,,,,,,316,
CVEN,,1,30,2,577,105,,102,21,,118,,,956,
ELEL,,220,34,4,164,,,,,,,,,422,
ELEN,,,,1,481,107,,90,42,,246,,,967,
ENGE,,231,,,,,,,,,,,,231,
ENGR,,,,,,,,,,,7,,,7,
ENSM,,,,,,5,,7,,,,,,12,
ENTC,,,,2,298,,,,,,,,,300,
ENTL,,15,15,5,188,,,,,,,,,223,
HLPH,,,,,,7,,8,,,,,,15,
IDIL,,25,16,5,108,,,,,,,,,154,
IDIS,,,,2,408,39,,26,,,,,,475,
INEL,,75,27,5,122,,,,,,,,,229,
INEN,,,1,5,434,72,,88,5,,39,,,644,
ITDE,,,,,,,,,,,4,,,4,
MEEL,,288,39,2,92,,,,,,,,,421,
MEEN,,,,,811,48,,120,42,1,202,,,"1,224",
MSEN,,,,,,4,,5,17,,65,,,91,
NUEL,,56,4,1,36,,,,,,,,,97,
NUEN,,,,1,133,17,,35,21,1,58,,,266,
OCEL,,19,3,,11,,,,,,,,,33,
OCEN,,,,1,77,21,,22,4,,23,,,148,
PETE,,,6,2,529,76,2,182,25,,93,,,915,
PETL,,211,,,64,,,,,,,,,275,
RHEL,,11,,,8,,,,,,,,,19,
RHEN,,,1,1,45,,,,,,,,,47,
SENG,,,,,,11,,15,,,,,,26,
USEN,,,,,1,,,,,,,,,1,
WMHS,,,,,,,,1,,,1,,,2,
Subtotal,,"2,207",288,58,"6,700",679,2,910,255,2,"1,227",,,"12,328",
G. Bush School of,CAIA,,,,,29,,18,,,,,,47,
Govt,CHLS,,,,,16,,10,,,,,,26,
CNPM,,,,,,13,,6,,,,,,19,
INTA,,,,,,79,,87,,,,,,166,
PSAA,,,,,,58,,61,,,,,,119,
Subtotal,,,,,,195,,182,,,,,,377,
