Headcount by Major by Ethnic Origin,,,,,,,,,,,
(College Station),,,,,,,,,,,
Fall 2013,White Only,American Indian Only,Asian Only,Black Only + 2 or more/1 Black,Hispanic or Latino of any Race,Native Hawaii Only,"2 or
More/Excluding Black",International,Unknown or Not Reported,Total,
Agriculture          ABME,1,,1,,,,,6,,8,
ADEV,18,,,1,1,,,,,20,
AGBL,155,,5,1,25,,5,4,,195,
AGBU,149,1,1,2,18,,2,16,1,190,
AGCJ,244,2,1,13,38,,6,3,,307,
AGEC,230,,6,,28,,2,52,1,319,
AGED,8,,,1,1,,,1,,11,
AGLS,67,,3,8,18,,1,3,,100,
AGRO,71,,4,1,9,,3,6,,94,
AGSC,118,,1,1,15,,3,,,138,
AGSM,117,,1,2,19,,5,5,,149,
ALEC,87,,3,8,14,,2,3,1,118,
ALED,441,5,,47,66,1,8,1,,569,
ANBR,7,,,1,,,,1,,9,
ANSC,809,7,7,20,213,,25,7,1,"1,089",
BAEN,179,,12,9,48,,9,43,2,302,
BESC,138,1,25,15,80,1,4,7,,271,
BICH,149,1,50,24,70,,8,71,4,377,
CDEV,10,,1,,8,,,,,19,
ECOR,20,1,1,,3,,,,,25,
ENST,40,,1,,4,,2,,,47,
ENTO,76,,8,3,29,,4,20,,140,
ESSM,23,,1,1,9,,,12,,46,
FISC,1,,,,,,,,,1,
FIVL,52,,2,6,64,,2,1,1,128,
FIVS,28,1,2,1,9,,1,,,42,
FORS,27,,1,,4,,1,4,,37,
FSTC,94,,13,5,21,,4,19,1,157,
GENE,88,,17,5,29,,4,8,1,152,
HORT,132,,4,1,36,,3,14,,190,
MEPS,5,,1,1,3,,1,18,,29,
NRDV,20,,,,3,,1,,1,25,
NUSC,345,1,34,16,118,1,12,3,1,531,
NUTR,16,,1,,5,,,12,,34,
PLBR,28,,1,,2,,,16,,47,
PLPA,12,,2,2,2,,,11,,29,
POSC,100,1,1,5,29,,2,9,,147,
PREP,7,,,,,,,3,,10,
PSSC,34,,1,1,7,1,,2,,46,
RENR,54,,2,3,17,,3,1,,80,
RLEM,42,,,,5,,5,,,52,
RPTS,347,,9,32,37,,10,31,1,467,
RRDV,1,,,,,,,,,1,
SOSC,14,,,1,2,,1,7,1,26,
SPSA,21,,,,10,,3,,,34,
TGSC,14,,1,,3,,,,,18,
TOXI,1,,,1,,,,1,,3,
USAL,164,1,1,14,46,,5,1,1,233,
WFSC,329,1,4,13,105,3,9,19,3,486,
WISC,13,,,,3,,,,,16,
WMHS,13,,,,3,,,3,,19,
Subtotal,"5,159",23,229,265,"1,279",7,156,444,21,"7,583",
