Ethnicity White Only,,,,,,,,,,,,,,
Headcount by Major by Classification / Degree Objective by Ethnicity,,,,,,,,,,,,,,
(College Station),,,,,,,,,,,,,,
Fall 2013,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,,
Geosciences,ATMO,,,,,,16,16,13,13,,,29,
ENGS,,18,26,27,28,99,,,,,,,99,
ENST,,12,18,22,25,77,,,,,,,77,
GEOG,,4,7,20,39,70,16,16,18,18,,,104,
GEOL,,55,37,57,55,204,35,35,19,19,,,258,
GEOP,,23,10,9,17,59,8,8,4,4,,,71,
GEOS,,,,,,,3,3,,,,,3,
MARB,,,,,,,1,1,2,2,,,3,
METL,,18,15,9,3,45,,,,,,,45,
METR,,,4,21,30,55,,,,,,,55,
OCNG,,,,,,,12,12,19,19,,,31,
SPSG,,,,1,1,2,,,,,,,2,
USGE,,2,,1,3,6,,,,,,,6,
WMHS,,,,,,,9,9,5,5,,,14,
Subtotal,,132,117,167,201,617,100,100,80,80,,,797,
Liberal Arts,ANTH,20,22,29,39,110,21,21,60,60,,,191,
CLSS,,3,3,4,6,16,,,,,,,16,
COMM,,80,170,200,192,642,7,7,25,25,,,674,
ECON,,67,90,148,180,485,6,6,14,14,,,505,
ENGL,,45,102,114,160,421,12,12,35,35,,,468,
FREN,,,,1,2,3,,,,,,,3,
GERM,,,,,1,1,,,,,,,1,
HISP,,,,,,,,,7,7,,,7,
HIST,,55,110,131,164,460,2,2,51,51,,,513,
INTS,,72,108,116,184,480,,,,,,,480,
MODL,,3,1,3,2,9,,,,,,,9,
MUSC,,6,3,6,6,21,,,,,,,21,
NRSC,,,,,,,,,10,10,,,10,
PERF,,,,,,,4,4,,,,,4,
PHIL,,6,14,15,25,60,4,4,14,14,,,78,
POLS,,98,120,115,136,469,1,1,28,28,,,498,
PSYC,,82,180,251,318,831,6,6,47,47,,,884,
RUSS,,,,2,4,6,,,,,,,6,
SOCI,,41,63,64,95,263,2,2,22,22,,,287,
SPAN,,3,8,5,6,22,,,,,,,22,
TCMS,,25,33,48,45,151,,,,,,,151,
THAR,,6,9,7,8,30,,,,,,,30,
USLA,,,1,3,8,12,,,,,,,12,
WGST,,2,,,3,5,,,,,,,5,
Subtotal,,614,"1,037","1,262","1,584","4,497",65,65,313,313,,,"4,875",
Science,ANLY,,,,,,8,8,,,,,8,
APHY,,,,,,,,,7,7,,,7,
APMS,,26,27,27,51,131,,,,,,,131,
BIOL,,235,133,125,157,650,3,3,26,26,,,679,
BMCB,,12,13,12,21,58,,,,,,,58,
BOTN,,,,,,,,,1,1,,,1,
CHEM,,61,42,45,44,192,2,2,85,85,,,279,
GENE,,,,,,,1,1,,,,,1,
MATH,,70,28,38,36,172,27,27,37,37,,,236,
MBIO,,14,8,15,15,52,,,8,8,,,60,
MEPS,,,,,,,,,,,,,,
MSEN,,,,,,,,,1,1,,,1,
NRSC,,,,,,,,,4,4,,,4,
PHYS,,94,33,19,27,173,4,4,55,55,,,232,
STAT,,,,,,,64,64,15,15,,,79,
USSC,,7,1,6,7,21,,,,,,,21,
ZOOL,,20,13,10,12,55,,,,,,,55,
Subtotal,,539,298,297,370,"1,504",109,109,239,239,,,"1,852",
