Ethnicity Asian Only,,,,,,,,,,,,,,
Headcount by Major by Classification / Degree Objective by Ethnicity,,,,,,,,,,,,,,
(College Station),,,,,,,,,,,,,,
Fall 2013,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,,
Geosciences,ATMO,,,,,,,,,,,,,
ENGS,,,,1,3,4,,,,,,,4,
ENST,,,,,3,3,,,,,,,3,
GEOG,,,1,,,1,,,1,1,,,2,
GEOL,,2,1,3,4,10,1,1,1,1,,,12,
GEOP,,3,3,1,,7,2,2,1,1,,,10,
GEOS,,,,,,,,,,,,,,
MARB,,,,,,,,,,,,,,
METL,,1,1,,,2,,,,,,,2,
METR,,,,,2,2,,,,,,,2,
OCNG,,,,,,,,,,,,,,
SPSG,,,,,,,,,,,,,,
USGE,,1,,,,1,,,,,,,1,
WMHS,,,,,,,2,2,,,,,2,
Subtotal,,7,6,5,12,30,5,5,3,3,,,38,
Liberal Arts,ANTH,,,3,1,4,,,4,4,,,8,
CLSS,,,,,,,,,,,,,,
COMM,,3,5,3,2,13,,,2,2,,,15,
ECON,,8,10,14,18,50,7,7,1,1,,,58,
ENGL,,,2,,6,8,1,1,1,1,,,10,
FREN,,,,,,,,,,,,,,
GERM,,,,,,,,,,,,,,
HISP,,,,,,,,,,,,,,
HIST,,1,,8,2,11,,,,,,,11,
INTS,,9,2,9,7,27,,,,,,,27,
MODL,,1,,,,1,,,,,,,1,
MUSC,,,,,1,1,,,,,,,1,
NRSC,,,,,,,,,,,,,,
PERF,,,,,,,,,,,,,,
PHIL,,,2,3,,5,,,,,,,5,
POLS,,3,6,6,9,24,,,1,1,,,25,
PSYC,,6,9,13,25,53,,,6,6,,,59,
RUSS,,,,,,,,,,,,,,
SOCI,,3,4,1,5,13,,,1,1,,,14,
SPAN,,,,,1,1,,,,,,,1,
TCMS,,,2,2,,4,,,,,,,4,
THAR,,,1,,,1,,,,,,,1,
USLA,,,,,1,1,,,,,,,1,
WGST,,,,1,1,2,,,,,,,2,
Subtotal,,34,43,63,79,219,8,8,16,16,,,243,
