Ethnicity Asian Only,,,,,,,,,,,,,,
Headcount by Major by Classification / Degree Objective by Ethnicity,,,,,,,,,,,,,,
(College Station),,,,,,,,,,,,,,
Fall 2013,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,,
Science,ANLY,,,,,,,,,,,,,
APHY,,,,,,,,,,,,,,
APMS,,6,5,5,10,26,,,,,,,26,
BIOL,,76,42,38,47,203,,,3,3,,,206,
BMCB,,2,6,3,4,15,,,,,,,15,
BOTN,,,,,,,,,,,,,,
CHEM,,19,11,12,13,55,1,1,11,11,,,67,
GENE,,,,,,,,,,,,,,
MATH,,19,2,,1,22,1,1,2,2,,,25,
MBIO,,1,1,2,2,6,,,,,,,6,
MEPS,,,,,,,,,,,,,,
MSEN,,,,,,,,,,,,,,
NRSC,,,,,,,,,,,,,,
PHYS,,18,4,1,1,24,,,3,3,,,27,
STAT,,,,,,,18,18,1,1,,,19,
USSC,,1,,,,1,,,,,,,1,
ZOOL,,,1,1,1,3,,,,,,,3,
Subtotal,,142,72,62,79,355,20,20,20,20,,,395,
Veterinary,BIMS,77,36,24,55,192,12,12,1,1,,,205,
Medicine,BIOT,,,,,,,,,,,,,
EPID,,,,,,,,,,,,,,
GENE,,,,,,,,,,,,,,
LAMD,,,,,,,,,,,,,,
STJR,,,,,,,,,,,,,,
TOXI,,,,,,,,,1,1,,,1,
USVM,,,,,,,,,,,,,,
VPAT,,,,,,,,,1,1,,,1,
VTMD,,,,,,,,,,,18,18,18,
VTMI,,,,,,,,,,,,,,
VTPB,,,,,,,,,1,1,,,1,
VTPH,,,,,,,,,,,,,,
Subtotal,,77,36,24,55,192,12,12,4,4,18,18,226,
General Studies,GEST,21,35,1,,57,,,,,,,57,
TEAM,,50,16,1,,67,,,,,,,67,
TMEN,,1,,,,1,,,,,,,1,
Subtotal,,72,51,2,,125,,,,,,,125,
Other - Special,MARB,,,,,,,,,,,,,
Populations,MARM,,,,,,,,,,,,,
MARS,,,,,,,,,,,,,,
MDSC,,,,,,,2,2,,,,,2,
PHLT,,,,,,,,,,,,,,
REEP,,,,,,,,,,,,,,
Subtotal,,,,,,,2,2,,,,,2,
University,Total,583,440,477,646,"2,146",222,222,148,148,18,18,"2,534",
"Prepared by DARS, 04 Dec 13",,,,,,,,,,,,,,
