Ethnicity Black Only + 2 or more/1 Black,,,,,,,,,,,,,,
Headcount by Major by Classification / Degree Objective by Ethnicity,,,,,,,,,,,,,,
(College Station),,,,,,,,,,,,,,
Fall 2013,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,,
Geosciences,ATMO,,,,,,2,2,,,,,2,
ENGS,,1,2,,,3,,,,,,,3,
ENST,,2,2,,3,7,,,,,,,7,
GEOG,,1,,1,1,3,1,1,,,,,4,
GEOL,,4,,,1,5,2,2,,,,,7,
GEOP,,1,,,,1,1,1,,,,,2,
METL,,2,,1,,3,,,,,,,3,
METR,,,,2,2,4,,,,,,,4,
OCNG,,,,,,,,,1,1,,,1,
SPSG,,,,,,,,,,,,,,
USGE,,1,,,,1,,,,,,,1,
WMHS,,,,,,,,,,,,,,
Subtotal,,12,4,4,7,27,6,6,1,1,,,34,
Liberal Arts,ANTH,1,2,1,1,5,1,1,3,3,,,9,
CLSS,,,,,,,,,,,,,,
COMM,,4,2,6,11,23,1,1,4,4,,,28,
ECON,,2,6,6,10,24,,,1,1,,,25,
ENGL,,8,4,3,6,21,,,1,1,,,22,
HISP,,,,,,,,,,,,,,
HIST,,4,8,1,4,17,,,,,,,17,
INTS,,4,3,7,10,24,,,,,,,24,
MODL,,,,,,,,,,,,,,
MUSC,,,,1,,1,,,,,,,1,
NRSC,,,,,,,,,1,1,,,1,
PERF,,,,,,,2,2,,,,,2,
PHIL,,,1,1,,2,,,,,,,2,
POLS,,12,8,3,9,32,,,1,1,,,33,
PSYC,,10,15,19,25,69,,,3,3,,,72,
RUSS,,,,,,,,,,,,,,
SOCI,,7,12,11,12,42,2,2,16,16,,,60,
SPAN,,,,,,,,,,,,,,
TCMS,,4,4,3,2,13,,,,,,,13,
THAR,,,1,1,1,3,,,,,,,3,
USLA,,,,,,,,,,,,,,
WGST,,1,,,,1,,,,,,,1,
Subtotal,,57,66,63,91,277,6,6,30,30,,,313,
Science,ANLY,,,,,,2,2,,,,,2,
APHY,,,,,,,,,,,,,,
APMS,,4,1,,3,8,,,,,,,8,
BIOL,,41,5,8,14,68,1,1,1,1,,,70,
BMCB,,1,,1,,2,,,,,,,2,
BOTN,,,,,,,,,,,,,,
CHEM,,9,2,4,1,16,1,1,3,3,,,20,
GENE,,,,,,,,,,,,,,
MATH,,13,1,2,,16,1,1,1,1,,,18,
MBIO,,1,,,2,3,,,,,,,3,
NRSC,,,,,,,,,,,,,,
PHYS,,4,2,,,6,,,2,2,,,8,
STAT,,,,,,,3,3,,,,,3,
USSC,,1,1,,,2,,,,,,,2,
ZOOL,,2,2,2,,6,,,,,,,6,
Subtotal,,76,14,17,20,127,8,8,7,7,,,142,
