Ethnicity Hispanic or Latino of any Race,,,,,,,,,,,,,,
Headcount by Major by Classification / Degree Objective by Ethnicity,,,,,,,,,,,,,,
(College Station),,,,,,,,,,,,,,
Fall 2013,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,,
Architecture,ARCH,,,,,,14,14,1,1,,,15,
COMG,,,,,,,3,3,,,,,3,
COSC,,1,,17,38,56,,,,,,,56,
COSL,,20,30,19,2,71,,,,,,,71,
ENDL,,36,23,12,3,74,,,,,,,74,
ENDS,,,,12,27,39,,,,,,,39,
LAND,,,,7,7,14,1,1,,,,,15,
LANL,,12,4,2,,18,,,,,,,18,
LPDV,,,,,,,3,3,,,,,3,
URPL,,,,,,,4,4,,,,,4,
URPN,,3,3,2,1,9,,,,,,,9,
URSC,,,5,5,5,15,,,5,5,,,20,
USAR,,27,14,11,7,59,,,,,,,59,
VISL,,11,5,8,,24,,,,,,,24,
VIST,,,2,6,18,26,7,7,,,,,33,
Subtotal,,110,86,101,108,405,32,32,6,6,,,443,
Business Admin,ACCT,,,49,59,108,11,11,,,,,119,
AGBU,,,,,1,1,,,,,,,1,
BHNR,,,1,5,9,15,,,,,,,15,
BUAD,,153,135,38,1,327,5,5,,,,,332,
BUAG,,4,1,1,,6,,,,,,,6,
EMBA,,,,,,,13,13,,,,,13,
FINC,,,,18,42,60,5,5,1,1,,,66,
INFO,,,,,,,,,,,,,,
MGMT,,,2,19,27,48,7,7,1,1,,,56,
MISY,,,,12,20,32,2,2,,,,,34,
MKTG,,,3,16,24,43,9,9,,,,,52,
MLER,,,,,,,1,1,,,,,1,
PMBA,,,,,,,7,7,,,,,7,
SCMT,,,1,14,25,40,,,,,,,40,
USBU,,1,2,11,11,25,,,,,,,25,
Subtotal,,158,145,183,219,705,60,60,2,2,,,767,
Education,ATTR,,,,,,1,1,,,,,1,
BIED,,,,,,,14,14,,,,,14,
CPSY,,,,,,,,,15,15,,,15,
EDAD,,,,,,,14,14,35,35,,,49,
EDCI,,,,,,,32,32,13,13,,,45,
EDHL,,51,57,54,24,186,,,,,,,186,
EDIS,,41,35,24,3,103,,,,,,,103,
EDKI,,51,39,43,27,160,,,,,,,160,
EDSM,,23,13,12,5,53,,,,,,,53,
EHRD,,,,,,,13,13,9,9,,,22,
EPSY,,,,,,,5,5,19,19,,,24,
GENE,,,,,,,,,,,,,,
HEED,,,,,,,11,11,4,4,,,15,
HLTH,,,,,47,47,,,,,,,47,
HRDL,,10,6,15,3,34,,,,,,,34,
HRDV,,,,,25,25,,,,,,,25,
INST,,2,1,28,90,121,,,,,,,121,
KINE,,,,1,33,34,1,1,5,5,,,40,
NUTR,,,,,,,,,,,,,,
SPED,,,,,,,6,6,,,,,6,
SPMT,,,,8,24,32,12,12,,,,,44,
SPSY,,,,,,,,,8,8,,,8,
TCMG,,,,1,19,20,,,,,,,20,
TCML,,17,4,13,9,43,,,,,,,43,
TECR,,1,,,,1,,,,,,,1,
USEH,,3,2,4,6,15,,,,,,,15,
Subtotal,,199,157,203,315,874,109,109,108,108,,,"1,091",
