Ethnicity Black Only + 2 or more/1 Black (NEW),,,,,,,,,,,,,,,
Spring 2013,,Undergraduate,,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,,
"Veterinary Medicine           BIMS USVM VTMD VTMI
Subtotal",,27,12,7,18,,64,3,3,,,,,67,
,,,,1,,,1,,,,,,,1,
,,,,,,,,,,,,4,4,4,
,,,,,,,,,,1,1,,,1,
,,27,12,8,18,,65,3,3,1,1,4,4,73,
"General Studies
Other - Special Populations
University",GEST,57,47,1,,,105,,,,,,,105,
,"TEAM
Subtotal MARA PHLT
Subtotal Total",14,6,,,,20,,,,,,,20,
,,71,53,1,,,125,,,,,,,125,
,,,,,1,,1,,,,,,,1,
,,,,,,,,2,2,,,,,2,
,,,,,1,,1,2,2,,,,,3,
,,243,250,263,447,4,"1,207",148,148,204,204,4,4,"1,563",
"Prepared by DARS, 20 Feb 13",,,,,,,,,,,,,,,
