Ethnicity Hispanic or Latino of any Race (NEW),,,,,,,,,,,,,,,
Spring 2013,,Undergraduate,,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,,
Agriculture,ADEV,,,,,,,1,1,,,,,1,
,AGBL,2,7,4,,,13,,,,,,,13,
,AGBU,,,,8,,8,3,3,,,,,11,
,AGCJ,,8,17,9,,34,,,,,,,34,
,AGEC,,2,6,19,,27,2,2,,,,,29,
,AGLS,,6,7,5,,18,,,,,,,18,
,AGRO,,3,3,6,,12,,,,,,,12,
,AGSC,,3,3,7,,13,,,,,,,13,
,AGSM,2,1,8,8,,19,,,,,,,19,
,ALEC,,,,,,,4,4,4,4,,,8,
,ALED,5,15,21,32,,73,,,,,,,73,
,ANSC,24,30,55,35,1,145,3,3,5,5,,,153,
,BAEN,11,10,8,12,,41,4,4,3,3,,,48,
,BESC,2,10,20,35,1,68,,,,,,,68,
,BICH,6,14,9,11,,40,,,4,4,,,44,
,CDEV,1,3,2,,,6,,,,,,,6,
,ECOR,,2,2,3,,7,,,,,,,7,
,ENST,1,1,1,3,,6,,,,,,,6,
,ENTO,,4,8,9,,21,2,2,6,6,,,29,
,FIVL,8,6,,,,14,,,,,,,14,
,FIVS,,,3,8,,11,,,,,,,11,
,FORS,,1,,1,,2,1,1,,,,,3,
,FSTC,,2,7,15,,24,4,4,1,1,,,29,
,GENE,2,5,5,,1,13,1,1,4,4,,,18,
,HORT,4,7,8,12,,31,2,2,2,2,,,35,
,MEPS,,,,,,,1,1,1,1,,,2,
,NRDV,,,,,,,2,2,,,,,2,
,NUSC,11,21,28,35,2,97,,,,,,,97,
,NUTR,,,,,,,2,2,1,1,,,3,
,PLBR,,,,,,,,,2,2,,,2,
,PLPA,,,,,,,1,1,4,4,,,5,
,POSC,3,6,5,14,,28,3,3,,,,,31,
,PSSC,1,2,2,,,5,,,,,,,5,
,RENR,1,,4,5,,10,,,,,,,10,
,RLEM,1,1,2,2,,6,5,5,7,7,,,18,
,RPTS,2,7,12,17,,38,1,1,,,,,39,
,SOSC,,,,,,,1,1,1,1,,,2,
,SPSA,,,2,,,2,,,,,,,2,
,TGSC,,1,,,,1,,,,,,,1,
,USAL,,5,14,8,,27,,,,,,,27,
,WFSC,2,13,26,31,1,73,9,9,16,16,,,98,
,WISC,,,,,,,2,2,,,,,2,
