Spring 2013,,Undergraduate,,,,,,Masters,,Doctoral,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,PB,Total,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,
Engineering,AERL,35,22,5,1,1,64,,,,,,,64
,AERO,,6,11,37,,54,2,2,5,5,,,61
,BIOT,,,,,,,1,1,,,,,1
,BMEL,18,12,7,,,37,,,,,,,37
,BMEN,,1,8,22,,31,1,1,10,10,,,42
,CECL,23,18,4,,,45,,,,,,,45
,CECN,,1,3,11,,15,1,1,,,,,16
,CEEL,13,9,7,2,,31,,,,,,,31
,CEEN,,4,5,10,,19,1,1,,,,,20
,CHEL,7,15,8,,,30,,,,,,,30
,CHEN,,2,12,41,,55,,,5,5,,,60
,CPSC,,2,10,24,,36,,,4,4,,,40
,CPSL,13,17,10,4,1,45,,,,,,,45
,CVEL,22,17,2,,,41,,,,,,,41
,CVEN,1,12,27,56,,96,13,13,1,1,,,110
,ELEL,34,24,9,7,,74,,,,,,,74
,ELEN,,9,18,57,1,85,5,5,12,12,,,102
,ENGR,,,,,,,,,1,1,,,1
,ENSM,,,,,,,2,2,,,,,2
,ENTC,,2,13,42,,57,,,,,,,57
,ENTL,5,19,16,6,,46,,,,,,,46
,IDIL,1,7,8,3,,19,,,,,,,19
,IDIS,,1,8,42,,51,8,8,,,,,59
,INEL,13,13,10,,,36,,,,,,,36
,INEN,,14,25,60,1,100,8,8,2,2,,,110
,MEEL,28,20,6,1,,55,,,,,,,55
,MEEN,,15,28,52,1,96,16,16,8,8,,,120
,MSEN,,,,,,,,,1,1,,,1
,NUEL,7,5,2,2,,16,,,,,,,16
,NUEN,,3,6,17,1,27,7,7,5,5,,,39
,OCEL,2,2,,,,4,,,,,,,4
,OCEN,,3,8,5,,16,2,2,,,,,18
,PETE,,5,18,36,,59,20,20,2,2,,,81
,PETL,17,8,6,,,31,,,,,,,31
,RHEL,3,2,1,,,6,,,,,,,6
,RHEN,,,1,6,,7,,,,,,,7
,USEN,,,,1,,1,,,,,,,1
,Subtotal,242,290,302,545,6,"1,385",87,87,56,56,,,"1,528"
