College G. Bush School of Govt,,,,,,,,,,,,
Texas A&M University Student Enrollment Summary,,,,,,,,,,,,
Student Head Count by Level by College (College Station Campus),,,,,,,,,,,,
Spring 2013,,Student Level,,,,,,,,,,
,,Undergraduate,,Masters,,Doctoral,,Professional,,Total,,
,,#,%,#,%,#,%,#,%,#,%,
Gender,Total,,,372,100.0%,,,,,372,100.0%,
Female,,,,158,42.5%,,,,,158,42.5%,
Male,,,,214,57.5%,,,,,214,57.5%,
Ethnicity,White Only (NEW),,,252,67.7%,,,,,252,67.7%,
American Indian Only (NEW),,,,2,.5%,,,,,2,.5%,
Asian Only (NEW),,,,11,3.0%,,,,,11,3.0%,
Black Only + 2 or more/1 Black (NEW),,,,20,5.4%,,,,,20,5.4%,
Hispanic or Latino of any Race (NEW),,,,38,10.2%,,,,,38,10.2%,
Native Hawaii Only (New),,,,,,,,,,,,
2 or More/Excluding Black (NEW),,,,9,2.4%,,,,,9,2.4%,
International,,,,38,10.2%,,,,,38,10.2%,
Unknown or Not Reported,,,,2,.5%,,,,,2,.5%,
TAMU Age Categories,<18,,,,,,,,,,,
18-21,,,,1,.3%,,,,,1,.3%,
22-25,,,,169,45.4%,,,,,169,45.4%,
26-30,,,,114,30.6%,,,,,114,30.6%,
31-39,,,,53,14.2%,,,,,53,14.2%,
40+,,,,35,9.4%,,,,,35,9.4%,
Enrollment Status,1st Time in College,,,,,,,,,,,
1st Time Graduate,,,,43,11.6%,,,,,43,11.6%,
1st Time Transfer,,,,,,,,,,,,
Readmitted,,,,,,,,,,,,
Continuing,,,,329,88.4%,,,,,329,88.4%,
Tuition Status,Resident Tuition,,,368,98.9%,,,,,368,98.9%,
Non-Resident Tuition,,,,4,1.1%,,,,,4,1.1%,
Residency Status,Texas Resident,,,248,66.7%,,,,,248,66.7%,
"Non-TX, US Resident",,,,82,22.0%,,,,,82,22.0%,
"Non-TX, Non-US Resident",,,,42,11.3%,,,,,42,11.3%,
SCH Categories,< 6 SCH,,,42,11.3%,,,,,42,11.3%,
6-8 SCH,,,,48,12.9%,,,,,48,12.9%,
9-11 SCH,,,,42,11.3%,,,,,42,11.3%,
12-14 SCH,,,,221,59.4%,,,,,221,59.4%,
15-17 SCH,,,,17,4.6%,,,,,17,4.6%,
>17 SCH,,,,2,.5%,,,,,2,.5%,
Ft/Pt:  TAMU Status,Less Than Half Time,,,42,11.3%,,,,,42,11.3%,
Half-Time,,,,48,12.9%,,,,,48,12.9%,
Full-Time,,,,282,75.8%,,,,,282,75.8%,
Top10_TX,No,,,362,97.3%,,,,,362,97.3%,
Yes,,,,10,2.7%,,,,,10,2.7%,
First Generation,No,,,242,65.1%,,,,,242,65.1%,
Unknown,,,,45,12.1%,,,,,45,12.1%,
Yes,,,,85,22.8%,,,,,85,22.8%,
"Prepared by DARS, 2/20/2013",,,,,,,,,,,,
Page 12,,,,,,,,,,,,
