Demographic Summary by College by Ethnicity/Gender,,,,,,,,,,,,,,,,,,,,,,
First-Time In College Students (College Station Campus),,,,,,,,,,,,,,,,,,,,,,
University Total,,,,,,,,,,,,,,,,,,,,,,
Spring 2013,White Only (NEW),,,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,2 or More/Excluding Black (NEW),,,International,,,Grand Total,,,
,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,21,36,57,2,6,8,2,6,8,8,17,25,2,4,6,6,10,16,41,79,120,
TAMU Age Categories  <18,,,,,,,,1,1,,,,,,,,,,,1,1,
18-21,21,30,51,2,5,7,2,5,7,8,15,23,2,3,5,6,10,16,41,68,109,
22-25,,5,5,,1,1,,,,,1,1,,1,1,,,,,8,8,
26-30,,,,,,,,,,,1,1,,,,,,,,1,1,
40+,,1,1,,,,,,,,,,,,,,,,,1,1,
"Classification/Degree   Freshman
Objective",18,36,54,2,4,6,2,6,8,6,17,23,2,4,6,6,9,15,36,76,112,
Sophomore,3,,3,,2,2,,,,2,,2,,,,,1,1,5,3,8,
Tuition Status                Resident Tuition,20,35,55,2,6,8,2,5,7,8,15,23,2,3,5,,1,1,34,65,99,
Non-Resident Tuition,1,1,2,,,,,1,1,,2,2,,1,1,6,9,15,7,14,21,
Residency Status           Texas Resident,20,33,53,2,6,8,2,5,7,8,15,23,2,3,5,,,,34,62,96,
"Non-TX, US Resident",1,3,4,,,,,1,1,,2,2,,1,1,,,,1,7,8,
"Non-TX, Non-US
Resident",,,,,,,,,,,,,,,,6,10,16,6,10,16,
SCH Categories              9-11 SCH,,1,1,,,,,,,,,,,,,,,,,1,1,
12-14 SCH,12,24,36,1,3,4,2,6,8,5,13,18,1,2,3,3,8,11,24,56,80,
15-17 SCH,9,11,20,1,3,4,,,,3,4,7,1,2,3,3,1,4,17,21,38,
>17 SCH,,,,,,,,,,,,,,,,,1,1,,1,1,
Ft/Pt:  TAMU Status    Half-Time,,1,1,,,,,,,,,,,,,3,,3,3,1,4,
Full-Time,21,35,56,2,6,8,2,6,8,8,17,25,2,4,6,3,10,13,38,78,116,
"Top 10% Texas High     No
School",16,24,40,,3,3,1,5,6,3,15,18,1,2,3,6,9,15,27,58,85,
Yes,5,12,17,2,3,5,1,1,2,5,2,7,1,2,3,,1,1,14,21,35,
First Generation            No,15,27,42,2,4,6,1,1,2,4,9,13,2,3,5,,,,24,44,68,
Unknown,,1,1,,,,,1,1,1,,1,,,,6,10,16,7,12,19,
Yes,6,8,14,,2,2,1,4,5,3,8,11,,1,1,,,,10,23,33,
"Dorm / Off-campus      Off Campus
students",12,11,23,,2,2,,4,4,4,8,12,,1,1,4,3,7,20,29,49,
On Campus,9,25,34,2,4,6,2,2,4,4,9,13,2,3,5,2,7,9,21,50,71,
"Prepared by DARS, 22 Feb 13",,,,,,,,,,,,,,,,,,,,,,
Page 130,,,,,,,,,,,,,,,,,,,,,,
