College Liberal Arts,,,,,,,,,,,,
Texas A&M University Student Enrollment Summary,,,,,,,,,,,,
Student Head Count by Level by College (College Station Campus),,,,,,,,,,,,
Spring 2013,,Student Level,,,,,,,,,,
,,Undergraduate,,Masters,,Doctoral,,Professional,,Total,,
,,#,%,#,%,#,%,#,%,#,%,
Gender,Total,"6,452",100.0%,189,100.0%,623,100.0%,,,"7,264",100.0%,
Female,,"3,840",59.5%,95,50.3%,327,52.5%,,,"4,262",58.7%,
Male,,"2,612",40.5%,94,49.7%,296,47.5%,,,"3,002",41.3%,
Ethnicity,White Only (NEW),"4,375",67.8%,69,36.5%,322,51.7%,,,"4,766",65.6%,
American Indian Only (NEW),,20,.3%,,,2,.3%,,,22,.3%,
Asian Only (NEW),,232,3.6%,5,2.6%,18,2.9%,,,255,3.5%,
Black Only + 2 or more/1 Black (NEW),,275,4.3%,4,2.1%,33,5.3%,,,312,4.3%,
Hispanic or Latino of any Race (NEW),,"1,328",20.6%,12,6.3%,95,15.2%,,,"1,435",19.8%,
Native Hawaii Only (New),,5,.1%,,,,,,,5,.1%,
2 or More/Excluding Black (NEW),,158,2.4%,2,1.1%,8,1.3%,,,168,2.3%,
International,,40,.6%,92,48.7%,135,21.7%,,,267,3.7%,
Unknown or Not Reported,,19,.3%,5,2.6%,10,1.6%,,,34,.5%,
TAMU Age Categories,<18,,,,,,,,,,,
18-21,,"3,472",53.8%,1,.5%,2,.3%,,,"3,475",47.8%,
22-25,,"2,804",43.5%,109,57.7%,83,13.3%,,,"2,996",41.2%,
26-30,,104,1.6%,49,25.9%,248,39.8%,,,401,5.5%,
31-39,,46,.7%,22,11.6%,224,36.0%,,,292,4.0%,
40+,,26,.4%,8,4.2%,66,10.6%,,,100,1.4%,
Enrollment Status,1st Time in College,13,.2%,,,,,,,13,.2%,
1st Time Graduate,,,,,,2,.3%,,,2,.0%,
1st Time Transfer,,228,3.5%,,,,,,,228,3.1%,
Readmitted,,57,.9%,1,.5%,,,,,58,.8%,
Continuing,,"6,154",95.4%,188,99.5%,621,99.7%,,,"6,963",95.9%,
Tuition Status,Resident Tuition,"6,354",98.5%,85,45.0%,566,90.9%,,,"7,005",96.4%,
Non-Resident Tuition,,98,1.5%,104,55.0%,57,9.1%,,,259,3.6%,
Residency Status,Texas Resident,"6,217",96.4%,56,29.6%,238,38.2%,,,"6,511",89.6%,
"Non-TX, US Resident",,194,3.0%,38,20.1%,246,39.5%,,,478,6.6%,
"Non-TX, Non-US Resident",,41,.6%,95,50.3%,139,22.3%,,,275,3.8%,
SCH Categories,< 6 SCH,118,1.8%,50,26.5%,110,17.7%,,,278,3.8%,
6-8 SCH,,216,3.3%,15,7.9%,14,2.2%,,,245,3.4%,
9-11 SCH,,309,4.8%,101,53.4%,485,77.8%,,,895,12.3%,
12-14 SCH,,"2,914",45.2%,23,12.2%,10,1.6%,,,"2,947",40.6%,
15-17 SCH,,"2,694",41.8%,,,3,.5%,,,"2,697",37.1%,
>17 SCH,,201,3.1%,,,1,.2%,,,202,2.8%,
Ft/Pt:  TAMU Status,Less Than Half Time,118,1.8%,48,25.4%,98,15.7%,,,264,3.6%,
Half-Time,,526,8.2%,18,9.5%,30,4.8%,,,574,7.9%,
Full-Time,,"5,808",90.0%,123,65.1%,495,79.5%,,,"6,426",88.5%,
Top10_TX,No,"4,119",63.8%,187,98.9%,609,97.8%,,,"4,915",67.7%,
Yes,,"2,333",36.2%,2,1.1%,14,2.2%,,,"2,349",32.3%,
First Generation,No,"4,404",68.3%,60,31.7%,350,56.2%,,,"4,814",66.3%,
Unknown,,174,2.7%,98,51.9%,108,17.3%,,,380,5.2%,
Yes,,"1,874",29.0%,31,16.4%,165,26.5%,,,"2,070",28.5%,
"Prepared by DARS, 2/20/2013",,,,,,,,,,,,
Page 14,,,,,,,,,,,,
