Demographic Summary by Texas Top 10% Status,,,,,,,
First-Time In College Students (College Station Campus),,,,,,,
Spring 2013,Top 10% Texas High School,,,,Grand Total,,
,Yes,,No,,#,%,
,#,%,#,%,,,
Headcount Total,35,29.2%,85,70.8%,120,100.0%,
Gender                       Female,14,34.1%,27,65.9%,41,100.0%,
Male,21,26.6%,58,73.4%,79,100.0%,
Ethnicity                   White Only (NEW),17,29.8%,40,70.2%,57,100.0%,
Asian Only (NEW),5,62.5%,3,37.5%,8,100.0%,
Black Only + 2 or more/1 Black (NEW),2,25.0%,6,75.0%,8,100.0%,
Hispanic or Latino of any Race (NEW),7,28.0%,18,72.0%,25,100.0%,
2 or More/Excluding Black (NEW),3,50.0%,3,50.0%,6,100.0%,
International,1,6.3%,15,93.8%,16,100.0%,
TAMU Age                <18,,,1,100.0%,1,100.0%,
Categories                 18-21,35,32.1%,74,67.9%,109,100.0%,
22-25,,,8,100.0%,8,100.0%,
26-30,,,1,100.0%,1,100.0%,
40+,,,1,100.0%,1,100.0%,
College                       Agriculture,4,36.4%,7,63.6%,11,100.0%,
Architecture,1,100.0%,,,1,100.0%,
Business Admin,4,20.0%,16,80.0%,20,100.0%,
Education,1,12.5%,7,87.5%,8,100.0%,
Engineering,16,34.8%,30,65.2%,46,100.0%,
Geosciences,,,3,100.0%,3,100.0%,
Liberal Arts,2,15.4%,11,84.6%,13,100.0%,
Science,3,27.3%,8,72.7%,11,100.0%,
Veterinary Medicine,4,57.1%,3,42.9%,7,100.0%,
Enrollment Status   1st Time in College,35,29.2%,85,70.8%,120,100.0%,
Tuition Status          Resident Tuition,34,34.3%,65,65.7%,99,100.0%,
Non-Resident Tuition,1,4.8%,20,95.2%,21,100.0%,
Residency Status     Texas Resident,33,34.4%,63,65.6%,96,100.0%,
"Non-TX, US Resident",1,12.5%,7,87.5%,8,100.0%,
"Non-TX, Non-US Resident",1,6.3%,15,93.8%,16,100.0%,
SCH Categories        9-11 SCH,,,1,100.0%,1,100.0%,
12-14 SCH,19,23.8%,61,76.3%,80,100.0%,
15-17 SCH,15,39.5%,23,60.5%,38,100.0%,
>17 SCH,1,100.0%,,,1,100.0%,
Ft/Pt: TAMU           Half-Time,,,4,100.0%,4,100.0%,
Status                         Full-Time,35,30.2%,81,69.8%,116,100.0%,
First Generation      No,24,20.0%,44,36.7%,68,56.7%,
Unknown,3,2.5%,16,13.3%,19,15.8%,
Yes,8,6.7%,25,20.8%,33,27.5%,
"Prepared by DARS, 22 Feb 13",,,,,,,
Page 150,,,,,,,
