Ethnicity White Only (NEW),,,,,,,,,,,,,,,
Spring 2013,,Undergraduate,,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,,
Agriculture,AGEC,25,58,149,202,1,435,29,29,16,16,,,480,
,ALEC,32,152,318,400,6,908,82,82,44,44,,,"1,034",
,ANSC,90,117,176,265,4,652,50,50,23,23,,,725,
,BAEN,35,55,66,109,1,266,27,27,5,5,,,298,
,BCBP,21,30,27,67,,145,2,2,58,58,,,205,
,CLAG,9,30,38,11,,88,,,,,,,88,
,ENTO,10,17,31,35,2,95,7,7,19,19,,,121,
,ESSM,5,44,38,62,2,151,27,27,14,14,,,192,
,HRSC,3,18,43,61,1,126,14,14,5,5,,,145,
,NFSC,27,82,103,175,8,395,16,16,9,9,,,420,
,PLPM,5,33,53,71,1,163,3,3,8,8,,,174,
,POSC,8,17,29,46,1,101,14,14,5,5,,,120,
,RPTS,10,60,109,158,,337,20,20,16,16,,,373,
,SCSC,4,21,23,43,,91,28,28,39,39,,,158,
,WFSC,26,51,73,127,1,278,43,43,36,36,,,357,
,Subtotal,310,785,"1,276","1,832",28,"4,231",362,362,297,297,,,"4,890",
Architecture,ARCH,27,56,53,86,,222,45,45,13,13,,,280,
,CLAR,1,7,12,19,,39,,,,,,,39,
,COSC,22,79,124,204,1,430,16,16,,,,,446,
,LAUP,7,15,29,55,,106,40,40,6,6,,,152,
,VIZA,12,38,47,60,,157,45,45,,,,,202,
,Subtotal,69,195,265,424,1,954,146,146,19,19,,,"1,119",
Business Admin,ACCT,,4,218,331,,553,104,104,10,10,,,667,
,CLBA,322,679,242,151,,"1,394",108,108,,,,,"1,502",
,FINC,,5,182,249,,436,112,112,2,2,,,550,
,INFO,,4,135,218,,357,38,38,1,1,,,396,
,MGMT,,2,71,134,1,208,25,25,11,11,,,244,
,MKTG,,,124,194,,318,23,23,3,3,,,344,
,Subtotal,322,694,972,"1,277",1,"3,266",410,410,27,27,,,"3,703",
Education,CLED,,1,,2,4,7,,,,,,,7,
,EAHR,9,24,82,143,,258,78,78,102,102,,,438,
,EPSY,17,38,33,81,,169,39,39,66,66,,,274,
,HLKN,140,385,491,690,4,"1,710",83,83,42,42,,,"1,835",
,TLAC,73,161,215,550,3,"1,002",161,161,71,71,,,"1,234",
,Subtotal,239,609,821,"1,466",11,"3,146",361,361,281,281,,,"3,788",
