Spring 2013,Undergraduate,,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,Freshman,Sophomore,Junior,Senior,PB,Total,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,,
"Liberal Arts                     ANTH CLLA COMM ECON ENGL HIST POLS PSYC SOCI
Subtotal
Science                             BIOL
CHEM PHYS
Subtotal Veterinary Medicine     CLVM
Subtotal
General Studies              GEST Subtotal
University                        Total",,,,,,,,,1,1,,,1,
,,,1,1,,2,,,,,,,2,
,,,1,,,1,,,,,,,1,
,,1,,,,1,,,,,,,1,
,,,2,2,,4,,,,,,,4,
,,2,,1,,3,,,,,,,3,
,,,2,2,,4,,,,,,,4,
,,2,1,,,3,,,,,,,3,
,,,,2,,2,,,1,1,,,3,
,,5,7,8,,20,,,2,2,,,22,
,2,1,1,1,,5,,,,,,,5,
,1,,,1,,2,,,1,1,,,3,
,1,,,,,1,,,1,1,,,2,
,4,1,1,2,,8,,,2,2,,,10,
,1,,1,1,,3,,,,,3,3,6,
,1,,1,1,,3,,,,,3,3,6,
,8,3,,,,11,,,,,,,11,
,8,3,,,,11,,,,,,,11,
,17,22,29,39,1,108,8,8,10,10,3,3,129,
"Prepared by DARS, 20 Feb 13",,,,,,,,,,,,,,
