Ethnicity 2 or More/Excluding Black (NEW),,,,,,,,,,,,,,,
Spring 2013,,Undergraduate,,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,,
Agriculture,AGEC,,2,1,3,,6,,,,,,,6,
,ALEC,1,4,4,8,,17,1,1,,,,,18,
,ANSC,2,5,7,7,,21,1,1,,,,,22,
,BAEN,,1,3,4,,8,1,1,,,,,9,
,BCBP,,3,3,3,1,10,,,1,1,,,11,
,CLAG,,,,1,,1,,,,,,,1,
,ENTO,1,1,,2,,4,,,,,,,4,
,ESSM,,2,,2,,4,1,1,,,,,5,
,HRSC,1,,,2,,3,,,,,,,3,
,NFSC,,3,3,6,,12,1,1,,,,,13,
,PLPM,,2,1,1,,4,,,,,,,4,
,POSC,,,,1,,1,1,1,,,,,2,
,RPTS,,2,2,3,,7,,,,,,,7,
,SCSC,,1,1,3,,5,,,,,,,5,
,WFSC,,,2,4,,6,,,,,,,6,
,Subtotal,5,26,27,50,1,109,6,6,1,1,,,116,
Architecture,ARCH,1,1,1,4,,7,,,,,,,7,
,CLAR,,,1,,,1,,,,,,,1,
,COSC,,5,1,5,,11,,,,,,,11,
,LAUP,,1,,4,,5,2,2,,,,,7,
,VIZA,,,1,2,,3,2,2,,,,,5,
,Subtotal,1,7,4,15,,27,4,4,,,,,31,
Business Admin,ACCT,,,4,7,,11,,,,,,,11,
,CLBA,10,18,4,3,,35,,,,,,,35,
,FINC,,,4,2,,6,1,1,,,,,7,
,INFO,,,5,6,,11,,,,,,,11,
,MGMT,,,3,1,,4,,,,,,,4,
,MKTG,,,2,9,,11,1,1,,,,,12,
,Subtotal,10,18,22,28,,78,2,2,,,,,80,
Education,EAHR,,2,2,2,,6,1,1,2,2,,,9,
,EPSY,,,1,2,,3,,,6,6,,,9,
,HLKN,3,8,26,17,,54,4,4,1,1,,,59,
,TLAC,,5,6,8,,19,5,5,3,3,,,27,
,Subtotal,3,15,35,29,,82,10,10,12,12,,,104,
