Ethnicity International,,,,,,,,,,,,,
Spring 2013,,Undergraduate,,,,,,Masters,,Doctoral,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,Masters,Total,Doctoral,Total,,
Agriculture,AGEC,,1,5,3,,9,24,24,39,39,72,
,ALEC,,1,2,2,,5,2,2,3,3,10,
,ANSC,1,1,,1,,3,5,5,11,11,19,
,BAEN,1,2,1,2,,6,10,10,36,36,52,
,BCBP,,1,1,5,,7,,,56,56,63,
,CLAG,,1,,,,1,,,,,1,
,ENTO,1,,,,,1,2,2,17,17,20,
,ESSM,1,,,,,1,2,2,12,12,15,
,HRSC,,,,,,,4,4,10,10,14,
,NFSC,,,2,3,,5,7,7,14,14,26,
,PLPM,,,,1,,1,1,1,11,11,13,
,POSC,,,,,,,3,3,6,6,9,
,RPTS,,,,1,,1,6,6,20,20,27,
,SCSC,,1,1,,,2,6,6,35,35,43,
,WFSC,,,,,,,5,5,16,16,21,
,Subtotal,4,8,12,18,,42,77,77,286,286,405,
Architecture,ARCH,,1,2,2,,5,38,38,38,38,81,
,CLAR,,,,1,,1,,,,,1,
,COSC,,,,2,,2,35,35,,,37,
,LAUP,,,2,,,2,65,65,39,39,106,
,VIZA,,,,,,,13,13,,,13,
,Subtotal,,1,4,5,,10,151,151,77,77,238,
Business Admin,ACCT,,,5,9,,14,14,14,,,28,
,CLBA,6,4,1,1,,12,23,23,,,35,
,FINC,,,6,3,,9,5,5,9,9,23,
,INFO,,,3,1,,4,94,94,10,10,108,
,MGMT,,,1,2,,3,1,1,4,4,8,
,MKTG,,,,,,,5,5,5,5,10,
,Subtotal,6,4,16,16,,42,142,142,28,28,212,
Education,EAHR,,,,1,,1,15,15,17,17,33,
,EPSY,,,,1,,1,14,14,33,33,48,
,HLKN,2,3,1,4,,10,13,13,22,22,45,
,TLAC,,,,,,,27,27,26,26,53,
,Subtotal,2,3,1,6,,12,69,69,98,98,179,
