Spring 2013,,Undergraduate,,,,,,Masters,,Doctoral,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,Masters,Total,Doctoral,Total,,
"Science                                     PHYS
STAT
Subtotal",,4,2,1,2,,9,11,11,79,79,99,
,,,,,,,,6,6,39,39,45,
,,11,8,5,8,,32,29,29,364,364,425,
"Veterinary Medicine
General Studies
Other - Special Populations
University",CLVM,,1,1,2,,4,1,1,2,2,7,
,"VIBS VLCS VSCS VTPB VTPP
Subtotal GEST
Subtotal SABX SRPH
Subtotal
Total",,,,,,,4,4,12,12,16,
,,,,,,,,,,1,1,1,
,,,,,,,,,,6,6,6,
,,,,,,,,,,6,6,6,
,,,,,,,,1,1,9,9,10,
,,,1,1,2,,4,6,6,36,36,46,
,,8,7,,,,15,,,,,15,
,,8,7,,,,15,,,,,15,
,,1,7,28,19,,55,10,10,,,65,
,,,,,,,,7,7,,,7,
,,1,7,28,19,,55,17,17,,,72,
,,60,90,164,265,1,580,"1,343","1,343","2,113","2,113","4,036",
"Prepared by DARS, 20 Feb 13",,,,,,,,,,,,,
