Ethnicity Unknown or Not Reported,,,,,,,,,,,,,,
Spring 2013,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,,
Agriculture,AGEC,,,,1,1,,,,,,,1,
,ALEC,,,1,,1,1,1,,,,,2,
,ANSC,,,,2,2,,,,,,,2,
,BAEN,,,,1,1,1,1,,,,,2,
,BCBP,,,1,1,2,,,2,2,,,4,
,NFSC,2,,,,2,,,,,,,2,
,PLPM,,,,,,,,1,1,,,1,
,RPTS,,,1,,1,,,,,,,1,
,SCSC,,,,,,1,1,,,,,1,
,WFSC,,,1,1,2,,,1,1,,,3,
,Subtotal,2,,4,6,12,3,3,4,4,,,19,
"Architecture
Business Admin
Education
Engineering",ARCH,1,,,,1,,,3,3,,,4,
,COSC,,,,,,1,1,,,,,1,
,LAUP,,,,,,1,1,,,,,1,
,VIZA,,,1,,1,1,1,,,,,2,
,Subtotal,1,,1,,2,3,3,3,3,,,8,
,ACCT,,,,,,3,3,2,2,,,5,
,CLBA,,3,,,3,14,14,,,,,17,
,FINC,,,1,1,2,1,1,,,,,3,
,INFO,,,1,,1,,,,,,,1,
,MGMT,,,1,,1,,,,,,,1,
,MKTG,,,,1,1,1,1,1,1,,,3,
,Subtotal,,3,3,2,8,19,19,3,3,,,30,
,EAHR,,,,,,,,1,1,,,1,
,EPSY,,,,,,2,2,1,1,,,3,
,HLKN,,,,,,3,3,,,,,3,
,TLAC,,,,,,2,2,2,2,,,4,
,Subtotal,,,,,,7,7,4,4,,,11,
,AERO,,,,2,2,,,,,,,2,
,BMEN,,,1,1,2,1,1,1,1,,,4,
,CHEN,,,1,3,4,1,1,,,,,5,
,CSCE,1,,,,1,2,2,3,3,,,6,
,CVEN,,,,,,,,3,3,,,3,
,ECEN,,,2,1,3,,,6,6,,,9,
,ETID,,,1,,1,1,1,,,,,2,
,ISEN,,,,3,3,1,1,,,,,4,
,MEEN,,1,,3,4,2,2,,,,,6,
,NUEN,,,,1,1,,,1,1,,,2,
,PETE,,,2,,2,6,6,2,2,,,10,
,Subtotal,1,1,7,14,23,14,14,16,16,,,53,
