Spring 2013,,Undergrad uate,Masters,Doctoral,Profession al,Total
Agriculture,ABME,,,2,,2
,ADEV,,23,,,23
,AGBL,120,,,,120
,AGBU,156,34,,,190
,AGCJ,321,,,,321
,AGEC,227,26,56,,309
,AGLS,112,,,,112
,AGRO,90,19,8,,117
,AGSC,121,,,,121
,AGSM,153,4,,,157
,ALEC,,71,60,,131
,ALED,585,,,,585
,ANBR,,7,5,,12
,ANSC,845,43,24,,912
,BAEN,207,39,43,,289
,BESC,216,,,,216
,BICH,201,1,99,,301
,BIOT,,6,,,6
,CDEV,28,,,,28
,ECOR,27,,,,27
,ENST,50,,,,50
,ENTO,69,11,43,,123
,FIVL,51,,,,51
,FIVS,40,,,,40
,FORS,21,7,9,,37
,FSTC,121,25,15,,161
,GENE,94,5,34,,133
,HORT,163,16,15,,194
,MEPS,,3,21,,24
,NRDV,,19,,,19
,NUSC,482,,,,482
,NUTR,,18,15,,33
