Headcount by Major by Level/Degree Objective by Entry Status (College Station Campus),,,,,,,,,,,,,,
Spring 2013,,Undergraduate,,,,Masters,,,Doctoral,,,Profession al,Total,
,,1st Time in College,1st Time Transfer,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,Continuing,,
Agriculture,ABME,,,,,,,,,,2,,2,
,ADEV,,,,,6,,17,,,,,23,
,AGBL,1,29,,90,,,,,,,,120,
,AGBU,,,,156,2,,32,,,,,190,
,AGCJ,,25,5,291,,,,,,,,321,
,AGEC,,9,2,216,1,,25,,,56,,309,
,AGLS,,9,8,95,,,,,,,,112,
,AGRO,,,,90,5,,14,1,,7,,117,
,AGSC,,6,1,114,,,,,,,,121,
,AGSM,,4,1,148,,,4,,,,,157,
,ALEC,,,,,13,1,57,2,,58,,131,
,ALED,1,38,17,529,,,,,,,,585,
,ANBR,,,,,1,,6,,,5,,12,
,ANSC,3,25,3,814,4,,39,2,,22,,912,
,BAEN,1,3,,203,3,,36,2,,41,,289,
,BESC,,4,2,210,,,,,,,,216,
,BICH,1,4,1,195,,,1,,,99,,301,
,BIOT,,,,,,,6,,,,,6,
,CDEV,,1,,27,,,,,,,,28,
,ECOR,,1,,26,,,,,,,,27,
,ENST,,6,2,42,,,,,,,,50,
,ENTO,,7,1,61,1,,10,2,1,40,,123,
,FIVL,2,,,49,,,,,,,,51,
,FIVS,,,,40,,,,,,,,40,
,FORS,,3,1,17,,,7,,,9,,37,
,FSTC,,3,3,115,4,,21,2,,13,,161,
,GENE,,1,2,91,,,5,1,,33,,133,
,HORT,,6,3,154,2,,14,,,15,,194,
,MEPS,,,,,,,3,1,,20,,24,
,NRDV,,,,,3,,16,,,,,19,
,NUSC,1,13,,468,,,,,,,,482,
,NUTR,,,,,,,18,2,,13,,33,
,PLBR,,,,,2,,13,5,,30,,50,
,PLPA,,,,,1,,3,,,25,,29,
,POSC,,3,1,133,3,,14,2,,6,,162,
,PREP,,,,,1,,4,,,8,,13,
,PSSC,,10,,10,,,,,,,,20,
,RENR,,3,,60,,,,,,,,63,
,RLEM,,1,3,46,,,16,,,25,,91,
,RPTS,1,21,4,367,,,20,1,,39,,453,
,RRDV,,,,,,,2,,,,,2,
,SOSC,,,,,,,5,1,,19,,25,
,SPSA,,1,,27,,,,,,,,28,
,TGSC,,4,,4,,,,,,,,8,
,TOXI,,,,,,,1,,,2,,3,
,USAL,,12,3,139,,,,,,,,154,
,WFSC,,8,4,360,4,,41,4,,67,,488,
,WISC,,,,,1,,11,,,,,12,
