Texas A&M University Student Enrollment Summary,,,,,,,,,,,,
Student Head Count by Level by College (College Station Campus),,,,,,,,,,,,
College Agriculture,,,,,,,,,,,,
Spring 2013,,Student Level,,,,,,,,,,
,,Undergraduate,,Masters,,Doctoral,,Professional,,Total,,
,,#,%,#,%,#,%,#,%,#,%,
Gender,Total,"5,725",100.0%,534,100.0%,687,100.0%,,,"6,946",100.0%,
Female,,"3,111",54.3%,280,52.4%,334,48.6%,,,"3,725",53.6%,
Male,,"2,614",45.7%,254,47.6%,353,51.4%,,,"3,221",46.4%,
Ethnicity,White Only (NEW),"4,231",73.9%,362,67.8%,297,43.2%,,,"4,890",70.4%,
American Indian Only (NEW),,24,.4%,1,.2%,1,.1%,,,26,.4%,
Asian Only (NEW),,172,3.0%,16,3.0%,13,1.9%,,,201,2.9%,
Black Only + 2 or more/1 Black (NEW),,192,3.4%,12,2.2%,24,3.5%,,,228,3.3%,
Hispanic or Latino of any Race (NEW),,933,16.3%,57,10.7%,61,8.9%,,,"1,051",15.1%,
Native Hawaii Only (New),,10,.2%,,,,,,,10,.1%,
2 or More/Excluding Black (NEW),,109,1.9%,6,1.1%,1,.1%,,,116,1.7%,
International,,42,.7%,77,14.4%,286,41.6%,,,405,5.8%,
Unknown or Not Reported,,12,.2%,3,.6%,4,.6%,,,19,.3%,
TAMU Age Categories,<18,,,,,,,,,,,
18-21,,"2,784",48.6%,,,1,.1%,,,"2,785",40.1%,
22-25,,"2,698",47.1%,248,46.4%,76,11.1%,,,"3,022",43.5%,
26-30,,170,3.0%,187,35.0%,300,43.7%,,,657,9.5%,
31-39,,54,.9%,64,12.0%,233,33.9%,,,351,5.1%,
40+,,19,.3%,35,6.6%,77,11.2%,,,131,1.9%,
Enrollment Status,1st Time in College,11,.2%,,,,,,,11,.2%,
1st Time Graduate,,,,57,10.7%,28,4.1%,,,85,1.2%,
1st Time Transfer,,260,4.5%,,,,,,,260,3.7%,
Readmitted,,67,1.2%,1,.2%,1,.1%,,,69,1.0%,
Continuing,,"5,387",94.1%,476,89.1%,658,95.8%,,,"6,521",93.9%,
Tuition Status,Resident Tuition,"5,601",97.8%,473,88.6%,611,88.9%,,,"6,685",96.2%,
Non-Resident Tuition,,124,2.2%,61,11.4%,76,11.1%,,,261,3.8%,
Residency Status,Texas Resident,"5,458",95.3%,370,69.3%,273,39.7%,,,"6,101",87.8%,
"Non-TX, US Resident",,221,3.9%,85,15.9%,125,18.2%,,,431,6.2%,
"Non-TX, Non-US Resident",,46,.8%,79,14.8%,289,42.1%,,,414,6.0%,
SCH Categories,< 6 SCH,85,1.5%,148,27.7%,122,17.8%,,,355,5.1%,
6-8 SCH,,210,3.7%,50,9.4%,20,2.9%,,,280,4.0%,
9-11 SCH,,300,5.2%,301,56.4%,530,77.1%,,,"1,131",16.3%,
12-14 SCH,,"2,943",51.4%,32,6.0%,14,2.0%,,,"2,989",43.0%,
15-17 SCH,,"1,979",34.6%,2,.4%,1,.1%,,,"1,982",28.5%,
>17 SCH,,208,3.6%,1,.2%,,,,,209,3.0%,
Ft/Pt:  TAMU Status,Less Than Half Time,86,1.5%,122,22.8%,105,15.3%,,,313,4.5%,
Half-Time,,510,8.9%,78,14.6%,38,5.5%,,,626,9.0%,
Full-Time,,"5,129",89.6%,334,62.5%,544,79.2%,,,"6,007",86.5%,
Top10_TX,No,"3,672",64.1%,514,96.3%,663,96.5%,,,"4,849",69.8%,
Yes,,"2,053",35.9%,20,3.7%,24,3.5%,,,"2,097",30.2%,
First Generation,No,"3,752",65.5%,314,58.8%,338,49.2%,,,"4,404",63.4%,
Unknown,,159,2.8%,81,15.2%,145,21.1%,,,385,5.5%,
Yes,,"1,814",31.7%,139,26.0%,204,29.7%,,,"2,157",31.1%,
"Prepared by DARS, 2/20/2013",,,,,,,,,,,,
Page 7,,,,,,,,,,,,
