Spring 2013,,White Only (NEW),,American Indian Only (NEW),,Asian Only (NEW),,Black Only + 2 or more/1 Black (NEW),,Hispanic or Latino of any Race (NEW),,Native Hawaii Only (New),,2 or More/Excluding Black (NEW),,International,,Unknown or Not Reported,,Total,,Total
,,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,
Engineering,AERL,21,130,,,3,7,,3,9,55,,,2,8,1,,,,36,203,239
,AERO,48,271,,2,,19,1,3,9,52,,,1,5,4,41,,2,63,395,458
,BIOT,4,3,,,,,1,,,1,,,,,12,3,,,17,7,24
,BMEL,40,40,,,8,6,,,19,18,,,1,1,,,,,68,65,133
,BMEN,79,131,,1,13,25,2,5,18,24,,,4,9,11,23,1,3,128,221,349
,CECL,7,78,,,1,11,2,5,8,37,1,,,3,1,1,,,20,135,155
,CECN,12,101,,1,3,16,1,4,2,14,,,,3,10,68,,,28,207,235
,CEEL,8,43,,,,8,,2,4,27,,,,2,1,4,,1,13,87,100
,CEEN,5,67,,,3,8,,4,2,18,,1,,4,13,85,,1,23,188,211
,CHEL,42,78,1,,4,11,1,4,11,19,,,4,4,,1,,,63,117,180
,CHEN,83,207,,1,18,39,4,11,22,38,,1,4,8,25,66,1,3,157,374,531
,CPSC,22,201,1,,3,27,3,10,3,37,,1,1,6,23,106,2,3,58,391,449
,CPSL,7,105,,1,4,13,,11,8,37,,,3,3,1,6,,1,23,177,200
,CVEL,38,85,,,2,4,,4,9,32,,,,3,,2,,,49,130,179
,CVEN,147,393,,1,7,24,3,10,39,71,,1,,4,56,144,,2,252,650,902
,ELEL,27,160,,,6,23,1,9,12,62,,,1,7,6,20,,,53,281,334
,ELEN,31,247,,1,14,75,5,10,13,89,,1,3,15,53,309,,7,119,754,873
,ENGR,,2,,,1,2,,,,1,,,,,,,,,1,5,6
,ENSM,2,5,,,,1,2,1,1,1,,,,,1,,,,6,8,14
,ENTC,7,178,,,1,11,3,8,5,52,,,,5,,2,,,16,256,272
,ENTL,10,103,,,2,10,,10,8,38,,,1,1,1,5,,1,22,168,190
,HLPH,3,5,,,,,1,1,,,,,,,1,,,,5,6,11
,IDIL,16,79,,1,,1,,1,3,16,,,,4,,,,,19,102,121
,IDIS,53,293,,,4,7,6,5,8,51,,,2,5,1,6,,1,74,368,442
,INEL,24,71,,1,2,1,,3,9,27,,,,2,2,13,,,37,118,155
,INEN,50,257,1,1,5,34,5,17,24,86,,2,6,8,66,113,2,2,159,520,679
,ITDE,,,,,1,,,,,,,,,,,,,,1,,1
,MEEL,23,186,,,1,7,1,5,11,44,,,1,5,3,3,,1,40,251,291
,MEEN,105,581,,3,10,40,3,12,25,95,,1,1,12,53,212,,4,197,960,"1,157"
,MSEN,4,13,,,2,5,1,,,1,,,,,19,49,,1,26,69,95
,NUEL,11,38,,,,7,,2,2,14,,,1,3,,1,,,14,65,79
,NUEN,24,157,,,,7,2,5,6,33,,,,6,4,39,1,1,37,248,285
,OCEL,8,9,,,1,1,,1,3,1,,,,1,,4,,,12,17,29
,OCEN,12,54,,2,1,5,1,1,5,13,,2,,4,5,39,,1,24,121,145
,PETE,65,384,,3,11,37,5,17,13,68,,,1,6,60,178,2,8,157,701,858
,PETL,31,115,,2,,9,,4,5,26,,1,3,7,1,11,,,40,175,215
,RHEL,6,6,,,,2,,1,3,3,,,,,,,,,9,12,21
,RHEN,18,7,,1,1,2,,1,3,4,1,,,3,,1,,,23,19,42
,SENG,1,4,,,,1,,1,,,,,,,4,3,1,,6,9,15
,USEN,,1,,,,,,,,1,,,,,,,,,,2,2
,WMHS,,1,,,,,,,,,,,,,,,,,,1,1
,Subtotal,"1,094","4,889",3,22,132,506,54,191,322,"1,206",2,11,40,157,438,"1,558",10,43,"2,095","8,583","10,678"
G. Bush School of Govt,CAIA,3,32,,,,1,,4,2,6,,,,,,,1,,6,43,49
,CHLS,6,12,,,,,,,,1,,,,,,,,,6,13,19
,CNPM,10,8,,,1,,6,,,3,,,1,,,,,,18,11,29
,INTA,42,67,,,4,2,2,1,6,9,,,3,3,7,7,,,64,89,153
,PSAA,36,36,2,,2,1,3,4,6,5,,,1,1,14,10,,1,64,58,122
,Subtotal,97,155,2,,7,4,11,9,14,24,,,5,4,21,17,1,1,158,214,372
Geosciences,ATMO,11,22,,,,,,1,,2,,,,,5,15,,,16,40,56
,ENGS,51,44,,1,1,3,1,1,11,8,,,,2,1,1,,,65,60,125
,ENST,38,33,1,1,3,,1,2,13,8,,,2,,,1,1,,59,45,104
,GEOG,34,68,,1,1,,2,1,9,11,,,,2,5,12,,,51,95,146
,GEOL,53,146,,,3,8,4,1,13,15,,,,6,16,23,1,1,90,200,290
,GEOP,6,48,,,4,4,,1,2,8,,,,1,6,16,1,,19,78,97
,GEOS,2,,,,,,,1,1,,,,,1,,2,,,3,4,7
,MARB,3,,,,,,,,,,,,,,,,,,3,,3
,METL,4,1,,,,,,,,,,,,,,,,,4,1,5
,METR,37,52,,,2,1,2,4,11,12,,,,2,1,,,,53,71,124
,OCNG,21,12,1,,,1,1,,2,2,,,,,8,18,,1,33,34,67
,SPSG,1,3,,,,,,,,,,,,,,,,,1,3,4
,USGE,1,,,,,,,,,,,,,,,,,,1,,1
,WMHS,2,10,,,,1,,,,1,,,1,,8,5,,,11,17,28
,Subtotal,264,439,2,3,14,18,11,12,62,67,,,3,14,50,93,3,2,409,648,"1,057"
