Spring 2013,,White Only (NEW),,American Indian Only (NEW),,Asian Only (NEW),,Black Only + 2 or more/1 Black (NEW),,Hispanic or Latino of any Race (NEW),,Native Hawaii Only (New),,2 or More/Excluding Black (NEW),,International,,Unknown or Not Reported,,Total,,Total,
,,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
Liberal Arts,ANTH,132,77,1,,8,4,8,3,41,19,,,8,4,6,6,1,,205,113,318,
,CLSS,7,10,,,,,,,2,1,,,,,,,1,,10,11,21,
,COMM,500,114,1,,13,2,18,11,87,26,,1,17,3,3,1,4,,643,158,801,
,ECON,98,373,,1,12,39,7,15,25,79,,,5,13,73,93,3,3,223,616,839,
,ENGL,361,134,4,,8,6,18,5,96,37,1,,9,4,14,7,2,,513,193,706,
,FREN,8,,,,,,1,1,,,,,,,,,,,9,1,10,
,GERM,1,2,,,,,,,,,,,,,,,,,1,2,3,
,HISP,6,2,,,,,,,14,6,,,,,2,7,,1,22,16,38,
,HIST,195,348,1,2,6,4,6,8,50,64,,,10,9,1,3,2,2,271,440,711,
,INTS,266,179,2,,17,9,14,11,103,53,1,,10,8,4,,1,1,418,261,679,
,MODL,3,,,,1,,,,2,1,,,,,,,,,6,1,7,
,MUSC,5,11,,,1,1,,1,1,2,,,1,,,,,,8,15,23,
,NRSC,4,8,,,1,,,1,2,1,,,,,3,1,,,10,11,21,
,PERF,1,3,,,,,2,,,1,,,,,,,1,,4,4,8,
,PHIL,21,64,,,1,4,1,1,8,16,,,2,3,,,,2,33,90,123,
,POLS,160,301,1,3,13,15,15,12,71,92,,,7,14,5,5,2,3,274,445,719,
,PSYC,681,202,3,,38,29,51,19,235,68,1,,14,8,6,13,2,,"1,031",339,"1,370",
,RUSS,2,6,,,,,,,1,,,,1,,,,,,4,6,10,
,SOCI,195,82,2,1,11,4,37,28,93,37,1,,7,4,9,4,1,1,356,161,517,
,SPAN,22,6,,,,,1,,24,19,,,,,,,,,47,25,72,
,TCMS,84,43,,,2,3,6,2,18,17,,,4,1,,1,,1,114,68,182,
,THAR,22,6,,,,1,1,3,6,4,,,1,1,,,,,30,15,45,
,USLA,5,4,,,,1,1,1,2,3,,,,,,,,,8,9,17,
,WGST,10,2,,,1,,3,,8,,,,,,,,,,22,2,24,
,Subtotal,"2,789","1,977",15,7,133,122,190,122,889,546,4,1,96,72,126,141,20,14,"4,262","3,002","7,264",
"Science
Veterinary Medicine
General Studies
Other - Special Populations",APHY,,9,1,,,,,,1,1,,,1,,,1,,,3,11,14,
,APMS,38,80,,,9,11,1,4,9,25,,,5,4,2,4,1,1,65,129,194,
,BIOL,333,261,2,3,86,99,32,12,173,114,1,,17,11,25,15,,1,669,516,"1,185",
,BMCB,25,27,,,5,8,1,1,5,22,,,2,2,1,,,1,39,61,100,
,BOTN,1,,,,,,,,,1,,,,,,,,,1,1,2,
,CHEM,119,132,1,2,22,32,6,5,30,45,,,5,5,46,93,3,2,232,316,548,
,GENE,,2,,,,,,,,,,,,,,,,,,2,2,
,MATH,101,105,,,4,2,5,2,26,49,1,,5,10,28,59,1,1,171,228,399,
,MBIO,36,19,,,2,5,2,1,8,11,,,3,3,6,1,,,57,40,97,
,MSEN,1,,,,,,,,,,,,,1,,,,,1,1,2,
,PHYS,20,134,,1,1,11,,7,8,30,,,1,13,9,89,1,2,40,287,327,
,STAT,25,61,,,11,6,,6,1,6,,,1,,22,23,2,5,62,107,169,
,USSC,10,7,,,,,,,1,3,,,,,,,,,11,10,21,
,ZOOL,47,14,,,3,2,2,,11,3,,,2,1,1,,,,66,20,86,
,Subtotal,756,851,4,6,143,176,49,38,273,310,2,,42,50,140,285,8,13,"1,417","1,729","3,146",
,BIMS,728,332,2,1,99,71,55,12,248,88,1,,34,16,13,20,2,2,"1,182",542,"1,724",
,BIOT,,,,,,,,,,,,,,,1,,,,1,,1,
,EPID,,,,,,,,,,,,,,,,1,,,,1,1,
,GENE,5,4,,,,,,,1,,,,,,1,,,,7,4,11,
,LAMD,1,,,,,,,,,,,,,,,,,,1,,1,
,STJR,5,,,,,,,,1,,,,1,,1,,,,8,,8,
,TOXI,6,1,,,,1,,,,1,,,,,2,2,,,8,5,13,
,USVM,,1,,,,,1,,,,,,,,,,,,1,1,2,
