Ethnicity Asian Only (NEW),,,,,,,,,,,,,,,
Spring 2013,,Undergraduate,,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,,
Agriculture,AGBL,,1,,,,1,,,,,,,1,
,AGBU,,,,,,,1,1,,,,,1,
,AGCJ,,,1,1,,2,,,,,,,2,
,AGEC,,,1,,,1,1,1,3,3,,,5,
,AGLS,2,1,,,,3,,,,,,,3,
,AGRO,,,1,,,1,3,3,,,,,4,
,AGSC,1,,,,,1,,,,,,,1,
,AGSM,1,,3,,,4,,,,,,,4,
,ALEC,,,,,,,,,1,1,,,1,
,ALED,,,,2,,2,,,,,,,2,
,ANSC,1,2,1,5,,9,,,,,,,9,
,BAEN,1,3,1,3,1,9,2,2,,,,,11,
,BESC,,2,5,6,,13,,,,,,,13,
,BICH,6,9,5,21,1,42,,,1,1,,,43,
,BIOT,,,,,,,2,2,,,,,2,
,CDEV,,,,1,,1,,,,,,,1,
,ECOR,,,1,,,1,,,,,,,1,
,ENTO,,,3,1,,4,1,1,1,1,,,6,
,FIVL,,,1,,,1,,,,,,,1,
,FIVS,,,,3,,3,,,,,,,3,
,FORS,,,,,,,1,1,,,,,1,
,FSTC,1,2,3,4,2,12,1,1,1,1,,,14,
,GENE,1,4,4,5,,14,,,1,1,,,15,
,HORT,1,,2,,,3,,,1,1,,,4,
,MEPS,,,,,,,,,1,1,,,1,
,NUSC,3,6,8,17,,34,,,,,,,34,
,NUTR,,,,,,,2,2,,,,,2,
,PLBR,,,,,,,,,1,1,,,1,
,PLPA,,,,,,,,,1,1,,,1,
,POSC,,,1,,,1,,,,,,,1,
,RPTS,,1,1,4,,6,1,1,,,,,7,
,SOSC,,,,,,,,,1,1,,,1,
,SPSA,,,,1,,1,,,,,,,1,
,WFSC,,1,2,,,3,1,1,,,,,4,
,Subtotal,18,32,44,74,4,172,16,16,13,13,,,201,
