Demographic Summary by College by Ethnicity/Gender,,,,,,,,,,,,,,,,,,,,,,,
First-Time In College Students (College Station Campus),,,,,,,,,,,,,,,,,,,,,,,
College Veterinary Medicine,,,,,,,,,,,,,,,,,,,,,,,
Summer 2013,White Only (NEW),,,American Indian Only (NEW),,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,2 or More/Excluding Black (NEW),,,International,,Grand Total,,,
,F,M,Tot,F,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,M,Tot,F,M,Tot,
Headcount Total,1,,1,,,,,,,,,,,,,,,,,1,,1,
"TAMU Age              18-21
Categories",1,,1,,,,,,,,,,,,,,,,,1,,1,
22-25,,,,,,,,,,,,,,,,,,,,,,,
"Classification/De   Freshman
gree Objective",1,,1,,,,,,,,,,,,,,,,,1,,1,
Sophomore,,,,,,,,,,,,,,,,,,,,,,,
Junior,,,,,,,,,,,,,,,,,,,,,,,
Tuition Status         Resident Tuition,,,,,,,,,,,,,,,,,,,,,,,
Non-Resident Tuition,1,,1,,,,,,,,,,,,,,,,,1,,1,
Residency Status    Texas Resident,,,,,,,,,,,,,,,,,,,,,,,
"Non-TX, US Resident",1,,1,,,,,,,,,,,,,,,,,1,,1,
"Non-TX, Non-US
Resident",,,,,,,,,,,,,,,,,,,,,,,
SCH Categories      < 6 SCH,,,,,,,,,,,,,,,,,,,,,,,
6-8 SCH,1,,1,,,,,,,,,,,,,,,,,1,,1,
9-11 SCH,,,,,,,,,,,,,,,,,,,,,,,
12-14 SCH,,,,,,,,,,,,,,,,,,,,,,,
"Ft/Pt:  TAMU         Less Than Half Time
Status",,,,,,,,,,,,,,,,,,,,,,,
Half-Time,1,,1,,,,,,,,,,,,,,,,,1,,1,
Full-Time,,,,,,,,,,,,,,,,,,,,,,,
"Top 10% Texas       No
High School",1,,1,,,,,,,,,,,,,,,,,1,,1,
Yes,,,,,,,,,,,,,,,,,,,,,,,
First Generation    No,1,,1,,,,,,,,,,,,,,,,,1,,1,
Unknown,,,,,,,,,,,,,,,,,,,,,,,
Yes,,,,,,,,,,,,,,,,,,,,,,,
"Dorm / Off-             Off-campus
campus students",1,,1,,,,,,,,,,,,,,,,,1,,1,
Dorm (On-campus),,,,,,,,,,,,,,,,,,,,,,,
"Prepared by DARS, 06 Sep 13",,,,,,,,,,,,,,,,,,,,,,,
