Demographic Summary by Texas Top 10% Status,,,,,,,
First-Time In College Students (College Station Campus),,,,,,,
Summer 2013,Top 10% Texas High School,,,,Grand Total,,
,Yes,,No,,#,%,
,#,%,#,%,,,
Headcount Total,15,3.3%,446,96.7%,461,100.0%,
Gender                Female,7,3.1%,221,96.9%,228,100.0%,
Male,8,3.4%,225,96.6%,233,100.0%,
Ethnicity             White Only (NEW),11,3.8%,281,96.2%,292,100.0%,
American Indian Only (NEW),,,1,100.0%,1,100.0%,
Asian Only (NEW),1,5.6%,17,94.4%,18,100.0%,
Black Only + 2 or more/1 Black (NEW),,,30,100.0%,30,100.0%,
Hispanic or Latino of any Race (NEW),3,2.8%,105,97.2%,108,100.0%,
2 or More/Excluding Black (NEW),,,11,100.0%,11,100.0%,
International,,,1,100.0%,1,100.0%,
TAMU Age          18-21,15,3.3%,445,96.7%,460,100.0%,
Categories           22-25,,,1,100.0%,1,100.0%,
College                Agriculture,,,7,100.0%,7,100.0%,
Architecture,,,4,100.0%,4,100.0%,
Business Admin,3,21.4%,11,78.6%,14,100.0%,
Education,2,9.1%,20,90.9%,22,100.0%,
Engineering,1,25.0%,3,75.0%,4,100.0%,
Liberal Arts,1,16.7%,5,83.3%,6,100.0%,
Science,1,33.3%,2,66.7%,3,100.0%,
Veterinary Medicine,,,1,100.0%,1,100.0%,
General Studies,7,1.8%,393,98.3%,400,100.0%,
Enrollment         1st Time in College,15,3.3%,446,96.7%,461,100.0%,
Tuition Status    Resident Tuition,13,3.0%,423,97.0%,436,100.0%,
Non-Resident Tuition,2,8.0%,23,92.0%,25,100.0%,
Residency           Texas Resident,13,3.0%,423,97.0%,436,100.0%,
"Status                  Non-TX, US Resident",2,8.7%,21,91.3%,23,100.0%,
"Non-TX, Non-US Resident",,,2,100.0%,2,100.0%,
SCH                      < 6 SCH,,,2,100.0%,2,100.0%,
Categories           6-8 SCH,15,3.3%,442,96.7%,457,100.0%,
9-11 SCH,,,1,100.0%,1,100.0%,
12-14 SCH,,,1,100.0%,1,100.0%,
Ft/Pt: TAMU    Less Than Half Time,,,2,100.0%,2,100.0%,
Status                  Half-Time,15,3.3%,442,96.7%,457,100.0%,
Full-Time,,,2,100.0%,2,100.0%,
First                     No,8,1.7%,312,67.7%,320,69.4%,
Generation         Unknown,,,22,4.8%,22,4.8%,
Yes,7,1.5%,112,24.3%,119,25.8%,
"Prepared by DARS, 06 Sep 13",,,,,,,
