Students by Country by Level (College Station Campus),,,,,,
Country,Undergraduate,Masters,PhD,Professional,Total Students,
Romania,2,,2,,4,
Russia,,,6,,6,
Rwanda,,,1,,1,
Saudi Arabia,13,13,11,,37,
Serbia,,1,,,1,
Singapore,2,7,1,,10,
Slovakia,,,1,,1,
South Africa,1,2,1,,4,
Spain,1,1,,,2,
Sri Lanka (Ceylon),2,2,6,,10,
Switzerland,2,,,,2,
Syria,,,1,,1,
Taiwan,1,20,75,,96,
Thailand,,11,15,,26,
Trinidad & Tobago,2,,1,,3,
Tunisia,1,1,,,2,
Turkey,,15,49,,64,
Turkmenistan,1,,,,1,
Uganda,,,1,,1,
Ukraine,,,3,,3,
United Arab Emirates,9,6,1,,16,
United Kingdom,3,,3,,6,
United States,"11,576","1,970","1,312",154,"15,012",
Uruguay,,,1,,1,
Uzbekistan,1,,1,,2,
Venezuela,5,6,7,,18,
Viet Nam Socialist Republi,8,3,8,,19,
Wales,,,1,,1,
Zambia,,,1,,1,
Zimbabwe (Rhodesia),,1,1,,2,
Page 130,,,,,,
