Demographic Summary by Classification,,,,,
Professional Students (College Station Campus),,,,,
Summer 2013,V1: 1st Year Veterinary,V2: 2nd Year Veterinary,V4: 4th Year Veterinary,Grand Total,
Head Count           Total,20,1,133,154,
Gender                       Female,17,1,97,115,
Male,3,,36,39,
Ethnicity                    White Only (NEW),20,1,118,139,
Asian Only (NEW),,,2,2,
Hispanic or Latino of any Race (NEW),,,7,7,
Unknown or Not Reported,,,6,6,
"TAMU Age                22-25
Categories",16,1,51,68,
26-30,3,,71,74,
31-39,1,,9,10,
40+,,,2,2,
College                       Veterinary Medicine,20,1,133,154,
Enrollment Status   Continuing,20,1,133,154,
Tuition Status          Resident Tuition,20,1,121,142,
Tuition  Exemption/Waiver,,,12,12,
Residency Status     Texas Resident,20,1,122,143,
"Non-TX, US Resident",,,11,11,
SCH Categories        < 6 SCH,18,1,,19,
6-8 SCH,2,,133,135,
"Ft/Pt: TAMU           Half-Time
Status",18,1,,19,
Full-Time,2,,133,135,
"Table 10    Prepared by DARS, 05 Sep 13",,,,,
