Summer 2013,,Undergraduate,,,,Masters,,,Doctoral,,,Professional,Total,
,,1st Time in College,1st Time Transfer,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,Continuing,,
G. Bush School,BUSH,,,,,37,,63,,,,,100,
of Govt,Subtotal,,,,,37,,63,,,,,100,
Geosciences,ATMO,,,,45,,,20,1,,31,,97,
CLGE,,,,1,39,,,1,,,,,41,
GEOG,,,1,,66,,,10,1,,14,,92,
GEPL,,,1,2,97,2,,20,,,27,,149,
OCNG,,,,,,,,10,,,36,,46,
Subtotal,,,2,3,247,2,,61,2,,108,,425,
Liberal Arts,ANTH,,1,2,54,,,7,,,11,,75,
CLLA,,,,,16,,,,,,,,16,
COMM,,1,4,1,247,,,3,,,16,,272,
ECON,,1,3,3,237,,,60,,,24,,328,
ENGL,,,2,2,167,,,5,,,27,,203,
HISP,,2,,1,19,,,1,,,20,,43,
HIST,,1,3,4,170,,,,,,15,,193,
INTS,,1,,1,271,,,,,,,,273,
PHUM,,,1,1,34,,,2,,,12,,50,
POLS,,,3,5,202,,,,4,,28,,242,
PRFM,,,,,20,,,2,,,,,22,
PSYC,,,10,4,402,,,7,,,94,,517,
SOCI,,,2,2,161,,,7,,,30,,202,
Subtotal,,6,29,26,"2,000",,,94,4,,277,,"2,436",
Science,BIOL,1,3,1,254,,,4,1,,47,,311,
CHEM,,,1,,74,,,7,2,,216,,300,
CLSC,,,,,8,,,,,,,,8,
MATH,,2,1,1,93,5,,22,,,95,,219,
PHYS,,,1,1,52,,,14,2,,143,,213,
STAT,,,,,,14,,41,,,34,,89,
Subtotal,,3,6,3,481,19,,88,5,,535,,"1,140",
Veterinary,CLVM,1,,1,412,12,1,3,1,,,154,585,
Medicine,VIBS,,,,,,,27,1,,28,,56,
VLCS,,,,,,,,8,1,,4,,13,
VSCS,,,,,,,,3,1,,8,,12,
VTPB,,,,,,,,6,1,,30,,37,
VTPP,,,,,,,,4,,,17,,21,
Subtotal,,1,,1,412,12,1,51,5,,87,154,724,
General Studies,GEST,400,,,309,,,,,,,,709,
Subtotal,,400,,,309,,,,,,,,709,
Other - Special,CLMD,,,,,1,,1,,,,,2,
Populations,MARB,,,,2,,,,,,,,2,
MARS,,,,,1,,,2,,,,,3,
MART,,,1,,,,,,,,,,1,
MASE,,,,,2,,,,,,,,2,
SABX,,,,,6,,,,,,,,6,
SRPH,,,,,,8,,6,,,,,14,
Subtotal,,,1,,11,9,,9,,,,,30,
University,Total,461,175,92,11114,463,9,1980,59,1,2930,154,17438,
"Prepared by DARS, 05 Sep 13",,,,,,,,,,,,,,
