Student Head Count by Level (College Station Campus),,,,,,,,,,,
"College Station Campus, Summer 2013",Undergraduate,,Masters,,Doctoral,,Professional,,Total,,
,#,%,#,%,#,%,#,%,#,%,
College              Total,"11,842                       100.0%                           2,452                       100.0%                          2,990                       100.0%                               154                       100.0%                         17,438                       100.0%",,,,,,,,,,
Agriculture,"2,294",19.4%,301,12.3%,450,15.1%,,,"3,045",17.5%,
Architecture,492,4.2%,164,6.7%,23,.8%,,,679,3.9%,
Business Admin,"1,415",11.9%,455,18.6%,65,2.2%,,,"1,935",11.1%,
Education,"1,527",12.9%,432,17.6%,429,14.3%,,,"2,388",13.7%,
Engineering,"2,173",18.3%,654,26.7%,"1,000",33.4%,,,"3,827",21.9%,
G. Bush School of Govt,,,100,4.1%,,,,,100,.6%,
Geosciences,252,2.1%,63,2.6%,110,3.7%,,,425,2.4%,
Liberal Arts,"2,061",17.4%,94,3.8%,281,9.4%,,,"2,436",14.0%,
Science,493,4.2%,107,4.4%,540,18.1%,,,"1,140",6.5%,
Veterinary Medicine,414,3.5%,64,2.6%,92,3.1%,154,100.0%,724,4.2%,
General Studies,709,6.0%,,,,,,,709,4.1%,
Other - Special Populations,12,.1%,18,.7%,,,,,30,.2%,
Gender              Female,"5,731",48.4%,"1,099",44.8%,"1,134",37.9%,115,74.7%,"8,079",46.3%,
Male,"6,111",51.6%,"1,353",55.2%,"1,856",62.1%,39,25.3%,"9,359",53.7%,
Ethnicity          White Only (NEW),"8,126",68.6%,"1,315",53.6%,"1,043",34.9%,139,90.3%,"10,623",60.9%,
American Indian Only (NEW),31,.3%,4,.2%,6,.2%,,,41,.2%,
Asian Only (NEW),556,4.7%,98,4.0%,86,2.9%,2,1.3%,742,4.3%,
Black Only + 2 or more/1 Black (NEW,473,4.0%,76,3.1%,125,4.2%,,,674,3.9%,
Hispanic or Latino of any Race (NEW),"1,999",16.9%,216,8.8%,220,7.4%,7,4.5%,"2,442",14.0%,
Native Hawaii Only (New),14,.1%,,,,,,,14,.1%,
2 or More/Excluding Black (NEW,265,2.2%,32,1.3%,28,.9%,,,325,1.9%,
International,258,2.2%,685,27.9%,"1,458",48.8%,,,"2,401",13.8%,
Unknown or Not Reported,120,1.0%,26,1.1%,24,.8%,6,3.9%,176,1.0%,
TAMU Age       <18,,,,,1,.0%,,,1,.0%,
Categories       18-21,"6,778",57.2%,22,.9%,1,0.0%,,,"6,801",39.0%,
22-25,"4,669",39.4%,"1,271",51.8%,506,16.9%,68,44.2%,"6,514",37.4%,
26-30,267,2.3%,710,29.0%,"1,419",47.5%,74,48.1%,"2,470",14.2%,
31-39,92,.8%,322,13.1%,821,27.5%,10,6.5%,"1,245",7.1%,
40+,36,.3%,127,5.2%,242,8.1%,2,1.3%,407,2.3%,
Enrollment     1st Time in College,461,3.9%,,,,,,,461,2.6%,
Status                1st Time Transfer,175,1.5%,,,,,,,175,1.0%,
1st Time Graduate,,,463,18.9%,59,2.0%,,,522,3.0%,
Readmitted,92,.8%,9,.4%,1,.0%,,,102,.6%,
Continuing,"11,114",93.9%,"1,980",80.8%,"2,930",98.0%,154,100.0%,"16,178",92.8%,
Tuition              Resident Tuition,"11,134",94.0%,"1,501",61.2%,886,29.6%,142,92.2%,"13,663",78.4%,
Status                Non-Resident Tuition,377,3.2%,549,22.4%,318,10.6%,,,"1,244",7.1%,
Tuition Exemption/Waiver,331,2.8%,402,16.4%,"1,786",59.7%,12,7.8%,"2,531",14.5%,
Residency        Texas Resident,"11,157",94.2%,"1,527",62.3%,931,31.1%,143,92.9%,"13,758",78.9%,
"Status                Non-TX, US Resident",425,3.6%,236,9.6%,591,19.8%,11,7.1%,"1,263",7.2%,
"Non-TX, Non-US Resident",260,2.2%,689,28.1%,"1,468",49.1%,,,"2,417",13.9%,
SCH                    < 6 SCH,"4,772",40.3%,"1,130",46.1%,737,24.6%,19,12.3%,"6,658",38.2%,
Categories       6-8 SCH,"4,626",39.1%,924,37.7%,"2,158",72.2%,135,87.7%,"7,843",45.0%,
9-11 SCH,"1,475",12.5%,255,10.4%,78,2.6%,,,"1,808",10.4%,
12-14 SCH,907,7.7%,136,5.5%,17,.6%,,,"1,060",6.1%,
15-17 SCH,51,.4%,7,.3%,,,,,58,.3%,
>17 SCH,11,.1%,,,,,,,11,.1%,
Ft/Pt:  TAMU  Less Than Half Time,"3,732",31.5%,393,16.0%,415,13.9%,,,"4,540",26.0%,
Status                Half-Time,"5,370",45.3%,747,30.5%,329,11.0%,19,12.3%,"6,465",37.1%,
Full-Time,"2,740",23.1%,"1,312",53.5%,"2,246",75.1%,135,87.7%,"6,433",36.9%,
Top 10%            No,"7,635",64.5%,"2,249",91.7%,"2,907",97.2%,149,96.8%,"12,940",74.2%,
Texas High      Yes,"4,207",35.5%,203,8.3%,83,2.8%,5,3.2%,"4,498",25.8%,
First                   No,"8,200",69.2%,"1,182",48.2%,"1,479",49.5%,9,5.8%,"10,870",62.3%,
Generation      Unknown,598,5.0%,830,33.8%,752,25.2%,139,90.3%,"2,319",13.3%,
Yes,"3,044",25.7%,440,17.9%,759,25.4%,6,3.9%,"4,249",24.4%,
"Table 3     Prepared by DARS, 9/4/2013",,,,,,,,,,,
