Summer 2013,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional Veterinary,Total,
Agriculture,AGEC,,1,7,11,19,2,2,,,,,21
ALEC,,1,3,31,38,73,2,2,2,2,,,77
ANSC,,3,3,12,23,41,4,4,5,5,,,50
BAEN,,1,2,4,11,18,2,2,1,1,,,21
BCBP,,3,,3,2,8,,,8,8,,,16
CLAG,,,1,2,,3,,,,,,,3
ENTO,,1,3,5,10,19,2,2,5,5,,,26
ESSM,,,,3,7,10,6,6,6,6,,,22
HRSC,,,1,2,4,7,3,3,2,2,,,12
NFSC,,,2,17,28,47,2,2,1,1,,,50
PLPM,,,2,8,23,33,,,2,2,,,35
POSC,,,1,3,3,7,2,2,1,1,,,10
RPTS,,1,2,6,11,20,1,1,,,,,21
SCSC,,,1,3,1,5,2,2,2,2,,,9
WFSC,,1,1,9,18,29,5,5,7,7,,,41
Subtotal,,11,23,115,190,339,33,33,42,42,,,414
Architecture,ARCH,,6,5,6,17,10,10,,,,,27
CLAR,,1,2,3,6,12,,,,,,,12
COSC,,1,4,17,29,51,3,3,,,,,54
LAUP,,,,2,3,5,3,3,1,1,,,9
VIZA,,,,5,2,7,3,3,,,,,10
Subtotal,,2,12,32,46,92,19,19,1,1,,,112
Business,ACCT,,1,25,44,70,9,9,,,,,79
Admin,CLBA,3,17,13,9,42,2,2,,,,,44
FINC,,,1,16,13,30,4,4,1,1,,,35
INFO,,,1,11,17,29,2,2,,,,,31
MGMT,,,1,4,12,17,1,1,1,1,,,19
MKTG,,,,9,15,24,7,7,,,,,31
Subtotal,,3,21,78,110,212,25,25,2,2,,,239
Education,CLED,,,,,,,,,,,,
EAHR,,1,2,16,32,51,14,14,28,28,,,93
EPSY,,,,8,13,21,10,10,25,25,,,56
HLKN,,7,10,34,87,138,14,14,6,6,,,158
TLAC,,,3,13,20,36,17,17,4,4,,,57
Subtotal,,8,15,71,152,246,55,55,63,63,,,364
