Summer 2013,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional Veterinary,Total,,
Agriculture,AGEC,,,,,,,,,,,,,
ALEC,,,1,,,1,,,,,,,1,
HRSC,,,,,,,,,,,,,,
NFSC,,,,1,1,2,,,,,,,2,
PLPM,,,,,,,,,,,,,,
POSC,,,,,,,,,,,,,,
RPTS,,1,,,,1,,,,,,,1,
SCSC,,,,,,,,,,,,,,
WFSC,,,,,1,1,,,,,,,1,
Subtotal,,1,1,1,2,5,,,,,,,5,
Architecture,ARCH,,,,,,,,,,,,,
LAUP,,,,,1,1,,,,,,,1,
VIZA,,,,,,,,,,,,,,
Subtotal,,,,,1,1,,,,,,,1,
Business,ACCT,,,1,,1,,,,,,,1,
MKTG,,,,,,,,,,,,,,
Subtotal,,,,1,,1,,,,,,,1,
Engineering,AERO,,,,,,,,,,,,,
BMEN,,,,,,,,,,,,,,
CHEN,,,,,1,1,,,,,,,1,
CVEN,,,,,1,1,,,,,,,1,
ECEN,,,,,1,1,,,,,,,1,
ETID,,,,1,,1,,,,,,,1,
ISEN,,,,,1,1,,,,,,,1,
Subtotal,,,,1,4,5,,,,,,,5,
Liberal Arts,ANTH,,,,,,,,,,,,,
ECON,,,,,,,,,,,,,,
ENGL,,,,,1,1,,,,,,,1,
Subtotal,,,,,1,1,,,,,,,1,
Science,BIOL,,,,1,1,,,,,,,1,
STAT,,,,,,,,,,,,,,
,Subtotal,1,1,3,1,1,,,,,,,1,
University,Total,,,,9,14,,,,,,,14,
Admin,,,,,,,,,,,,,,
"Prepared by DARS, 05 Sep 13",,,,,,,,,,,,,,
