Summer 2013,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional Veterinary,Total,,
Science                BIOL,,2,1,,3,1,1,25,25,,,29,
CHEM,,,2,2,4,2,2,113,113,,,119,
CLSC,,,,,,,,,,,,,
MATH,,4,1,1,6,7,7,67,67,,,80,
PHYS,1,,,1,2,8,8,73,73,,,83,
STAT,,,,,,3,3,28,28,,,31,
Subtotal,1,6,4,4,15,21,21,306,306,,,342,
Veterinary           CLVM Medicine,,,,2,2,,,,,,,2,
VIBS,,,,,,4,4,12,12,,,16,
VLCS,,,,,,,,1,1,,,1,
VSCS,,,,,,,,8,8,,,8,
VTPB,,,,,,,,6,6,,,6,
VTPP,,,,,,,,8,8,,,8,
Subtotal,,,,2,2,4,4,35,35,,,41,
General                GEST Studies,2,,,,2,,,,,,,2,
Subtotal,2,,,,2,,,,,,,2,
Other - Special   CLMD Populations,,,,,,,,,,,,,
MARB,,,,,,,,,,,,,
MASE,,,,,,,,,,,,,
SABX,,1,1,2,4,,,,,,,4,
SRPH,,,,,,4,4,,,,,4,
Subtotal,,1,1,2,4,4,4,,,,,8,
University           Total,26,28,58,146,258,685,685,"1,458","1,458",,,"2,401",
"Prepared by DARS, 05 Sep 13",,,,,,,,,,,,,
