Summer 2013,Undergraduate,,,,Masters,,,Doctoral,,,Professional,Total
,1st Time in College,1st Time Transfer,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,Continuing,
Engineering           AERL,1,,,26,,,,,,,,27
AERO,,,,125,2,,17,2,,60,,206
BIOT,,,,,,,18,,,,,18
BMEL,,,1,35,,,,,,,,36
BMEN,,,,83,2,,6,,,67,,158
CECL,,1,,29,,,,,,,,30
CECN,,,,54,,,16,,,29,,99
CEEL,,1,,15,,,,,,,,16
CEEN,,,,30,,,31,,,26,,87
CHEL,,2,,34,,,,,,,,36
CHEN,,,,142,,,6,,,91,,239
CPSC,,,1,82,,,42,,,62,,187
CPSL,,5,1,57,,,,,,,,63
CVEL,,1,,20,,,,,,,,21
CVEN,,,,205,3,,79,4,,92,,383
ELEL,,,1,50,,,,,,,,51
ELEN,,,,187,1,,39,,,161,,388
ENGR,,,,,,,,,,3,,3
ENSM,,,,,,,2,,,,,2
ENTC,,,,74,,,,,,,,74
ENTL,,2,1,39,,,,,,,,42
HLPH,,,,,1,,4,,,,,5
IDIL,,2,1,25,,,,,,,,28
IDIS,,,,126,,,,,,,,126
INEL,1,1,2,33,,,,,,,,37
INEN,,,1,174,3,,70,,,26,,274
ITDE,,,,,,,,,,1,,1
MEEL,,3,,30,,,,,,,,33
MEEN,,,,225,7,,76,4,1,167,,480
MSEN,,,,,1,,4,1,,56,,62
NUEL,,,,19,,,,,,,,19
NUEN,,,,58,,,29,4,,37,,128
OCEL,,,,3,,,,,,,,3
OCEN,,,,37,,,22,,,17,,76
PETE,,,,78,10,1,155,,,89,,333
PETL,2,,,23,,,,,,,,25
RHEL,,,,3,,,,,,,,3
RHEN,,,,20,,,,,,,,20
SENG,,,,,,,7,,,,,7
USEN,,,,1,,,,,,,,1
Subtotal,4,18,9,"2,142",30,1,623,15,1,984,,"3,827"
G. Bush School of CAIA,,,,,15,,17,,,,,32
Govt                         CHLS,,,,,6,,14,,,,,20
CNPM,,,,,8,,8,,,,,16
CNSA,,,,,7,,,,,,,7
INTA,,,,,1,,12,,,,,13
PSAA,,,,,,,12,,,,,12
Subtotal,,,,,37,,63,,,,,100
Geosciences           ATMO,,,,,,,19,1,,31,,51
ENGS,,,1,38,,,,,,,,39
ENST,,,,36,,,,,,,,36
GEOG,,1,,29,,,7,1,,11,,49
GEOL,,1,2,76,2,,15,,,18,,114
GEOP,,,,21,,,5,,,8,,34
GEOS,,,,,,,3,,,,,3
MARB,,,,,,,,,,2,,2
METL,,,,16,,,,,,,,16
METR,,,,29,,,,,,,,29
OCNG,,,,,,,9,,,34,,43
SPSG,,,,1,,,,,,,,1
USGE,,,,1,,,,,,,,1
WMHS,,,,,,,3,,,4,,7
Subtotal,,2,3,247,2,,61,2,,108,,425
