Summer 2013,,White Only (NEW),American Indian Only (NEW),Asian Only (NEW),Black Only + 2 or more/1 Black (NEW),Hispanic or Latino of any Race (NEW),Native Hawaii Only (New),2 or More/Excluding Black (NEW),International,Unknown or Not Reported,Total
Engineering,AERL,14,,1,2,7,,,1,2,27
AERO,,131,1,6,1,22,,2,33,10,206
BIOT,,6,,,1,1,,,10,,18
BMEL,,13,,4,,13,,,,6,36
BMEN,,87,,11,5,24,,5,25,1,158
CECL,,15,,3,4,5,,2,1,,30
CECN,,40,,5,1,7,,2,44,,99
CEEL,,6,,3,1,2,,,2,2,16
CEEN,,22,,4,,6,,,55,,87
CHEL,,23,,4,2,5,,1,,1,36
CHEN,,102,1,19,7,20,1,5,82,2,239
CPSC,,80,,7,4,12,,1,81,2,187
CPSL,,33,,4,2,13,,2,4,5,63
CVEL,,10,,1,1,5,,1,1,2,21
CVEN,,203,,12,2,42,,3,120,1,383
ELEL,,25,,6,2,13,,2,2,1,51
ELEN,,107,1,39,3,31,1,7,191,8,388
ENGR,,1,,1,,,,,1,,3
ENSM,,1,,1,,,,,,,2
ENTC,,54,,2,3,13,,1,1,,74
ENTL,,22,,4,1,12,,,3,,42
HLPH,,4,,,1,,,,,,5
IDIL,,22,,,,5,,,,1,28
IDIS,,95,,3,5,18,1,,4,,126
INEL,,18,,1,1,7,,2,6,2,37
INEN,,109,2,16,8,38,1,6,94,,274
ITDE,,,,1,,,,,,,1
MEEL,,22,,1,3,4,,1,1,1,33
MEEN,,221,,17,10,52,,4,174,2,480
MSEN,,14,,2,1,1,,1,43,,62
NUEL,,13,,2,,3,,,,1,19
NUEN,,70,,4,3,17,,3,31,,128
OCEL,,1,,,,2,,,,,3
OCEN,,23,1,3,1,10,1,1,36,,76
PETE,,104,2,20,11,28,,2,162,4,333
PETL,,16,,1,1,1,,1,5,,25
RHEL,,1,,1,,1,,,,,3
RHEN,,14,,,,4,,2,,,20
SENG,,2,,,1,,,,3,1,7
USEN,,1,,,,,,,,,1
Subtotal,,"1,745",8,209,88,444,5,57,"1,216",55,"3,827"
G. Bush School,CAIA,19,,,3,9,,1,,,32
of Govt,CHLS,18,,,,2,,,,,20
CNPM,,11,,1,2,2,,,,,16
CNSA,,7,,,,,,,,,7
INTA,,7,,,,2,,2,2,,13
PSAA,,6,,2,,,,,4,,12
Subtotal,,68,,3,5,15,,3,6,,100
Geosciences,ATMO,29,,,2,2,,,18,,51
ENGS,,30,,2,,4,,2,1,,39
ENST,,23,,2,5,5,,1,,,36
GEOG,,34,1,,1,4,,2,7,,49
GEOL,,82,,4,1,10,,3,14,,114
GEOP,,18,,,,1,,1,14,,34
GEOS,,1,,,,,,,2,,3
MARB,,2,,,,,,,,,2
METL,,6,,,,,,,,10,16
METR,,22,,,1,6,,,,,29
OCNG,,18,1,,1,2,,,20,1,43
SPSG,,1,,,,,,,,,1
USGE,,1,,,,,,,,,1
WMHS,,5,,1,,,,,1,,7
Subtotal,,272,2,9,11,34,,9,77,11,425
