Summer 2013,White Only (NEW),,American Indian Only (NEW),,Asian Only (NEW),,Black Only + 2 or more/1 Black (NEW),,Hispanic or Latino of any Race (NEW),,Native Hawaii Only (New),,2 or More/Excluding Black (NEW),,International,,Unknown or Not Reported,,Total,,Total
,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,
G. Bush School  CAIA,5,14,,,,,1,2,3,6,,,1,,,,,,10,22,32
of Govt                 CHLS,2,16,,,,,,,,2,,,,,,,,,2,18,20
CNPM,7,4,,,1,,2,,,2,,,,,,,,,10,6,16
CNSA,2,5,,,,,,,,,,,,,,,,,2,5,7
INTA,,7,,,,,,,1,1,,,1,1,1,1,,,3,10,13
PSAA,3,3,,,1,1,,,,,,,,,2,2,,,6,6,12
Subtotal,19,49,,,2,1,3,2,4,11,,,2,1,3,3,,,33,67,100
Geosciences        ATMO,10,19,,,,,1,1,,2,,,,,4,14,,,15,36,51
ENGS,18,12,,,,2,,,1,3,,,,2,1,,,,20,19,39
ENST,12,11,,,2,,2,3,,5,,,1,,,,,,17,19,36
GEOG,12,22,,1,,,1,,3,1,,,,2,1,6,,,17,32,49
GEOL,22,60,,,,4,1,,5,5,,,,3,7,7,,,35,79,114
GEOP,2,16,,,,,,,,1,,,,1,4,10,,,6,28,34
GEOS,1,,,,,,,,,,,,,,,2,,,1,2,3
MARB,2,,,,,,,,,,,,,,,,,,2,,2
METL,4,2,,,,,,,,,,,,,,,5,5,9,7,16
METR,10,12,,,,,,1,4,2,,,,,,,,,14,15,29
OCNG,14,4,1,,,,1,,1,1,,,,,8,12,,1,25,18,43
SPSG,,1,,,,,,,,,,,,,,,,,,1,1
USGE,1,,,,,,,,,,,,,,,,,,1,,1
WMHS,,5,,,,1,,,,,,,,,1,,,,1,6,7
Subtotal,108,164,1,1,2,7,6,5,14,20,,,1,8,26,51,5,6,163,262,425
Liberal Arts         ANTH,29,18,1,,3,,1,,12,5,,,1,1,3,,1,,51,24,75
CLSS,1,,,,,,,,,,,,,,,,1,,2,,2
COMM,137,36,,,3,1,5,4,19,9,,,3,2,1,1,,,168,53,221
ECON,35,143,,1,5,17,3,5,7,28,,,4,4,29,45,1,1,84,244,328
ENGL,108,35,,,1,2,9,2,19,10,1,,5,2,4,3,2,,149,54,203
FREN,3,,,,,,,,1,,,,,,,,,,4,,4
GERM,1,2,,,,,,,,,,,,,,,,,1,2,3
HISP,,2,,,,,,,6,4,,,,,2,6,,,8,12,20
HIST,52,91,,1,3,2,4,3,11,19,,,2,2,,2,1,,73,120,193
INTS,96,75,1,,7,3,4,1,40,22,,,2,6,1,,,1,151,108,259
MODL,1,,,,,,,,1,,,,,,,,,,2,,2
MUSC,3,2,,,1,,,1,,1,,,,,,,,,4,4,8
NRSC,4,7,,,1,,,1,2,1,,,,,2,1,,,9,10,19
PERF,,,,,,,2,,,,,,,,,,,,2,,2
PHIL,9,26,,,1,2,,1,2,6,,,1,1,,,,1,13,37,50
POLS,59,92,,,6,8,9,4,15,36,,,3,3,,3,2,2,94,148,242
PSYC,257,79,,,16,7,24,8,65,20,,,7,,4,10,1,,374,124,498
RUSS,2,1,,,,,,,1,,,,,,,,,,3,1,4
SOCI,73,39,,,1,3,12,15,35,15,,,3,2,1,2,,1,125,77,202
SPAN,6,3,,,,,,,8,4,,,,,,1,,,14,8,22
TCMS,24,15,,,,1,1,,5,4,,,1,,,,,,31,20,51
THAR,7,2,,,,,,1,1,1,,,,,,,,,8,4,12
USLA,5,2,,,,,,1,,,,,,,,,,,5,3,8
WGST,2,1,,,2,,,,3,,,,,,,,,,7,1,8
Subtotal,914,671,2,2,50,46,74,47,253,185,1,,32,23,47,74,9,6,"1,382","1,054","2,436"
