Summer 2013,White Only (NEW),,American Indian Only (NEW),,Asian Only (NEW),,Black Only + 2 or more/1 Black (NEW),,Hispanic or Latino of any Race (NEW),,Native Hawaii Only (New),,2 or More/Excluding Black (NEW),,International,,Unknown or Not Reported,,Total,,Total,
,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
Science                 APHY,,7,1,,,,,,1,1,,,,,,1,,,2,9,11,
APMS,11,20,,,1,2,,3,2,6,,,,,3,1,,2,17,34,51,
BIOL,66,64,,1,16,12,7,5,28,22,1,,1,2,13,9,,,132,115,247,
BMCB,4,3,,,,3,,,,4,,,,,1,,,,5,10,15,
BOTN,1,,,,,,,,,,,,,,,,,,1,,1,
CHEM,39,73,,1,8,9,2,3,14,13,,,1,1,40,79,10,6,114,185,299,
GENE,,2,,,,,,,,,,,,,,,,,,2,2,
MATH,28,38,,,3,,3,,7,9,,,2,1,23,53,,1,66,102,168,
MBIO,11,6,,,1,2,,1,3,3,,,1,,3,1,,,19,13,32,
MSEN,1,,,,,,,,,,,,,1,,,,,1,1,2,
NRSC,,,,,,,,,,,,,,,1,,,,1,,1,
PHYS,12,64,,,,7,,5,2,9,,,2,5,7,75,6,7,29,172,201,
STAT,10,30,,,5,6,1,1,,2,,,1,,13,18,,2,30,59,89,
USSC,4,1,,,,,,,,3,,,,,,,,,4,4,8,
ZOOL,5,4,,,,1,,,2,,,,,,1,,,,8,5,13,
Subtotal,192,312,1,2,34,42,13,18,59,72,1,,8,10,105,237,16,18,429,711,"1,140",
Veterinary           BIMS,205,94,,,33,25,13,5,60,24,,,14,7,11,18,1,,337,173,510,
Medicine             BIOT,,,,,,,,,,,,,,,1,,,,1,,1,
EPID,1,,,,,,,,,,,,,,,1,,,1,1,2,
GENE,5,4,,,,,,,1,,,,,,1,,,,7,4,11,
LAMD,1,,,,,,,,,,,,,,,,,,1,,1,
STJR,4,,,,,,,,,,,,1,,,,,,5,,5,
TOXI,5,2,,,,1,,,,1,,,,,2,2,,,7,6,13,
USVM,,,,,,,1,,,,,,,,,,,,1,,1,
VPAT,9,,,,1,,,,,1,,,1,,,2,,,11,3,14,
VTMD,103,36,,,2,,,,4,3,,,,,,,6,,115,39,154,
VTMI,5,2,,,,,1,,,,,,,,2,1,,,8,3,11,
VTPH,,1,,,,,,,,,,,,,,,,,,1,1,
Subtotal,338,139,,,36,26,15,5,65,29,,,16,7,17,24,7,,494,230,724,
General                GEST,183,169,1,,21,5,6,8,67,60,,,7,4,,2,,1,285,249,534,
Studies                 TEAM,65,71,1,,4,5,,,14,13,,,,2,,,,,84,91,175,
Subtotal,248,240,2,,25,10,6,8,81,73,,,7,6,,2,,1,369,340,709,
Other - Special   MARB,,,,,1,,,,1,,,,,,,,,,2,,2,
Populations        MARM,,2,,,,,,,,,,,,,,,,,,2,2,
MARS,1,,,,,,,,,,,,,,,,,,1,,1,
MART,,,,,,,,,,1,,,,,,,,,,1,1,
MASE,,1,,,,,,,,,,,,,,,,,,1,1,
MASL,,1,,,,,,,,,,,,,,,,,,1,1,
MDSC,1,,,,,1,,,,,,,,,,,,,1,1,2,
PHLT,5,2,,,2,,,,,1,,,,,3,1,,,10,4,14,
REEP,,1,,,,,,,,,,,,,2,2,1,,3,3,6,
Subtotal,7,7,,,3,1,,,1,2,,,,,5,3,1,,17,13,30,
Total,"5,188","5,435",24,17,326,416,341,333,"1,211","1,231",5,9,164,161,738,"1,663",82,94,"8,079","9,359","17,438",
"Prepared by DARS, 05 Sep 13",,,,,,,,,,,,,,,,,,,,,,
