Texas A&M University Student Enrollment Summary,,,,,,,,,,,
Student Head Count by Level by College (College Station Campus),,,,,,,,,,,
College Architecture,,,,,,,,,,,
Summer 2013,Student Level,,,,,,,,,,
,Undergraduate,,Masters,,Doctoral,,Professional,,Total,,
,#,%,#,%,#,%,#,%,#,%,
Gender                Total,492,100.0%,164,100.0%,23,100.0%,,,679,100.0%,
Female,121,24.6%,72,43.9%,10,43.5%,,,203,29.9%,
Male,371,75.4%,92,56.1%,13,56.5%,,,476,70.1%,
Ethnicity             White Only (NEW),363,73.8%,68,41.5%,3,13.0%,,,434,63.9%,
American Indian Only (NEW),1,.2%,,,,,,,1,.1%,
Asian Only (NEW),12,2.4%,5,3.0%,,,,,17,2.5%,
Black Only + 2 or more/1 Black (NEW),11,2.2%,1,.6%,,,,,12,1.8%,
Hispanic or Latino of any Race (NEW),92,18.7%,19,11.6%,1,4.3%,,,112,16.5%,
Native Hawaii Only (New),1,.2%,,,,,,,1,.1%,
2 or More/Excluding Black (NEW),7,1.4%,1,.6%,,,,,8,1.2%,
International,5,1.0%,68,41.5%,18,78.3%,,,91,13.4%,
Unknown or Not Reported,,,2,1.2%,1,4.3%,,,3,.4%,
TAMU Age         <18,,,,,,,,,,,
Categories          18-21,237,48.2%,1,.6%,,,,,238,35.1%,
22-25,234,47.6%,95,57.9%,,,,,329,48.5%,
26-30,15,3.0%,50,30.5%,7,30.4%,,,72,10.6%,
31-39,6,1.2%,14,8.5%,13,56.5%,,,33,4.9%,
40+,,,4,2.4%,3,13.0%,,,7,1.0%,
Enrollment         1st Time in College,4,.8%,,,,,,,4,.6%,
Status                  1st Time Transfer,19,3.9%,,,,,,,19,2.8%,
1st Time Graduate,,,11,6.7%,,,,,11,1.6%,
Readmitted,3,.6%,1,.6%,,,,,4,.6%,
Continuing,466,94.7%,152,92.7%,23,100.0%,,,641,94.4%,
Tuition Status    Resident Tuition,479,97.4%,80,48.8%,2,8.7%,,,561,82.6%,
Non-Resident Tuition,5,1.0%,51,31.1%,5,21.7%,,,61,9.0%,
Tuition Exemption/Waiver,8,1.6%,33,20.1%,16,69.6%,,,57,8.4%,
Residency           Texas Resident,479,97.4%,83,50.6%,2,8.7%,,,564,83.1%,
"Status                  Non-TX, US Resident",8,1.6%,13,7.9%,3,13.0%,,,24,3.5%,
"Non-TX, Non-US Resident",5,1.0%,68,41.5%,18,78.3%,,,91,13.4%,
SCH                     < 6 SCH,175,35.6%,78,47.6%,11,47.8%,,,264,38.9%,
Categories          6-8 SCH,168,34.1%,72,43.9%,12,52.2%,,,252,37.1%,
9-11 SCH,74,15.0%,13,7.9%,,,,,87,12.8%,
12-14 SCH,71,14.4%,1,.6%,,,,,72,10.6%,
15-17 SCH,4,.8%,,,,,,,4,.6%,
>17 SCH,,,,,,,,,,,
Ft/Pt:  TAMU    Less Than Half Time,132,26.8%,38,23.2%,9,39.1%,,,179,26.4%,
Status                  Half-Time,192,39.0%,41,25.0%,2,8.7%,,,235,34.6%,
Full-Time,168,34.1%,85,51.8%,12,52.2%,,,265,39.0%,
Top 10% Texas  No,333,67.7%,155,94.5%,23,100.0%,,,511,75.3%,
High School       Yes,159,32.3%,9,5.5%,,,,,168,24.7%,
First                     No,341,69.3%,71,43.3%,13,56.5%,,,425,62.6%,
Generation         Unknown,13,2.6%,68,41.5%,5,21.7%,,,86,12.7%,
Yes,138,28.0%,25,15.2%,5,21.7%,,,168,24.7%,
"Table 7     Prepared by DARS, 9/5/2013",,,,,,,,,,,
