Summer 2013,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total
,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional Veterinary,Total,
Engineering       AERL,2,4,1,,7,,,,,,,7
AERO,,,6,12,18,2,2,2,2,,,22
BIOT,,,,,,1,1,,,,,1
BMEL,2,6,3,2,13,,,,,,,13
BMEN,,1,3,10,14,,,10,10,,,24
CECL,1,1,3,,5,,,,,,,5
CECN,,,,7,7,,,,,,,7
CEEL,,1,1,,2,,,,,,,2
CEEN,,1,1,4,6,,,,,,,6
CHEL,,2,3,,5,,,,,,,5
CHEN,,,2,14,16,,,4,4,,,20
CPSC,,,,8,8,1,1,3,3,,,12
CPSL,,3,5,5,13,,,,,,,13
CVEL,1,2,2,,5,,,,,,,5
CVEN,,1,8,31,40,2,2,,,,,42
ELEL,2,6,1,4,13,,,,,,,13
ELEN,,,8,16,24,1,1,6,6,,,31
ENTC,,,2,11,13,,,,,,,13
ENTL,,3,7,2,12,,,,,,,12
HLPH,,,,,,,,,,,,
IDIL,,,3,2,5,,,,,,,5
IDIS,,,2,16,18,,,,,,,18
INEL,,2,5,,7,,,,,,,7
INEN,1,,13,20,34,3,3,1,1,,,38
ITDE,,,,,,,,,,,,
MEEL,1,2,,1,4,,,,,,,4
MEEN,1,3,9,25,38,9,9,5,5,,,52
MSEN,,,,,,,,1,1,,,1
NUEL,,,3,,3,,,,,,,3
NUEN,1,,2,7,10,6,6,1,1,,,17
OCEL,,2,,,2,,,,,,,2
OCEN,,,5,4,9,1,1,,,,,10
PETE,,2,4,6,12,15,15,1,1,,,28
PETL,,1,,,1,,,,,,,1
RHEL,,,1,,1,,,,,,,1
RHEN,,,,4,4,,,,,,,4
Subtotal,12,43,103,211,369,41,41,34,34,,,444
G. Bush School  CAIA,,,,,,9,9,,,,,9
of Govt                CHLS,,,,,,2,2,,,,,2
CNPM,,,,,,2,2,,,,,2
CNSA,,,,,,,,,,,,
INTA,,,,,,2,2,,,,,2
PSAA,,,,,,,,,,,,
Subtotal,,,,,,15,15,,,,,15
Geosciences       ATMO,,,,,,1,1,1,1,,,2
ENGS,,,,4,4,,,,,,,4
ENST,,,,5,5,,,,,,,5
GEOG,,,3,,3,1,1,,,,,4
GEOL,,,4,6,10,,,,,,,10
GEOP,,,,,,1,1,,,,,1
METL,,,,,,,,,,,,
METR,,,3,3,6,,,,,,,6
OCNG,,,,,,2,2,,,,,2
WMHS,,,,,,,,,,,,
Subtotal,,,10,18,28,5,5,1,1,,,34
