Spring 2014,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,,
Veterinary,BIMS,24,20,6,20,70,2,2,,,,,72,
Medicine,BIOT,,,,,,,,,,,,,
GENE,,,,,,,,,,,,,,
LAMD,,,,,,,,,,,,,,
STJR,,,,,,,,,,,,,,
TOXI,,,,,,,,,1,1,,,1,
USVM,,,,,1,1,,,,,,,1,
VHPE,,,,,,,,,,,,,,
VPAT,,,,,,,,,,,,,,
VTMD,,,,,,,,,,,4,4,4,
VTMI,,,,,,,,,1,1,,,1,
VTPB,,,,,,,,,,,,,,
Subtotal,,24,20,6,21,71,2,2,2,2,4,4,79,
General Studies,GEST,34,12,4,,50,,,,,,,50,
TEAM,,13,11,1,,25,,,,,,,25,
TMEN,,1,,,,1,,,,,,,1,
Subtotal,,48,23,5,,76,,,,,,,76,
Other - Special,MARB,,,,,,,,,,,,,
Populations,MARM,,,,,,,,,,,,,
MARS,,,,,,,,,,,,,,
MDSC,,,,,,,,,,,,,,
PHLT,,,,,,,5,5,,,,,5,
REEP,,,,,,,,,,,,,,
USGA,,,,,,,,,,,,,,
Subtotal,,,,,,,5,5,,,,,5,
University,Total,329,255,259,403,"1,246",167,167,190,190,4,4,"1,607",
"Prepared by DARS, 17 Feb 14",,,,,,,,,,,,,,
