College Engineering,,,,,,,,,,,,,,,,,,,,,,,
Spring 2014,White Only,,,American Indian Only,,Asian Only,,,Black Only + 2 or more/1 Black,,,Hispanic or Latino of any Race,,,"2 or
More/Excluding Black",,International,,,Grand Total,,,
,F,M,Tot,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,1,10,11,1,1,1,2,3,,1,1,1,2,3,1,1,3,11,14,6,28,34,
"TAMU Age                     <18
Categories",,,,,,1,,1,,,,,,,,,,,,1,,1,
18-21,1,8,9,1,1,,2,2,,,,1,2,3,1,1,3,10,13,5,24,29,
22-25,,2,2,,,,,,,1,1,,,,,,,1,1,,4,4,
26-30,,,,,,,,,,,,,,,,,,,,,,,
31-39,,,,,,,,,,,,,,,,,,,,,,,
"Classification/Degre    Freshman
e Objective",1,10,11,1,1,1,,1,,1,1,1,2,3,1,1,3,11,14,6,26,32,
Sophomore,,,,,,,1,1,,,,,,,,,,,,,1,1,
Junior,,,,,,,1,1,,,,,,,,,,,,,1,1,
Tuition Status               Resident Tuition,1,10,11,1,1,1,2,3,,,,1,2,3,1,1,,,,3,16,19,
Non-Resident Tuition,,,,,,,,,,,,,,,,,3,11,14,3,11,14,
Tuition Exemption/Waiver,,,,,,,,,,1,1,,,,,,,,,,1,1,
Residency Status          Texas Resident,1,10,11,1,1,1,2,3,,,,1,2,3,1,1,,,,3,16,19,
"Non-TX, US Resident",,,,,,,,,,1,1,,,,,,,,,,1,1,
"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,3,11,14,3,11,14,
SCH Categories            < 6 SCH,,,,,,,,,,,,,,,1,1,,,,,1,1,
6-8 SCH,,,,,,,,,,,,,,,,,,,,,,,
9-11 SCH,,2,2,,,,,,,,,,,,,,,,,,2,2,
12-14 SCH,,7,7,,,,,,,,,1,2,3,,,3,7,10,4,16,20,
15-17 SCH,1,1,2,1,1,1,2,3,,1,1,,,,,,,2,2,2,7,9,
>17 SCH,,,,,,,,,,,,,,,,,,2,2,,2,2,
Ft/Pt:  TAMU Status   Less Than Half Time,,,,,,,,,,,,,,,1,1,,,,,1,1,
Half-Time,,2,2,,,,,,,,,,,,,,,2,2,,4,4,
Full-Time,1,8,9,1,1,1,2,3,,1,1,1,2,3,,,3,9,12,6,23,29,
"Top 10% Texas High   No
School",1,5,6,1,1,1,2,3,,,,,,,,,3,11,14,5,19,24,
Yes,,5,5,,,,,,,1,1,1,2,3,1,1,,,,1,9,10,
First Generation           No,,6,6,1,1,,2,2,,,,,,,1,1,,,,,10,10,
Unknown,,,,,,1,,1,,,,1,,1,,,3,11,14,5,11,16,
Yes,1,4,5,,,,,,,1,1,,2,2,,,,,,1,7,8,
"Dorm / Off-campus     Off-campus
students",,5,5,1,1,1,2,3,,,,1,1,2,1,1,2,4,6,4,14,18,
Dorm (On-campus),1,5,6,,,,,,,1,1,,1,1,,,1,7,8,2,14,16,
"Prepared by DARS, 18 Feb 14",,,,,,,,,,,,,,,,,,,,,,,
