First-Time In College Students (College Station),,,,,,,,,,,,,,,,,,,,,,,
College Science,,,,,,,,,,,,,,,,,,,,,,,
Spring 2014,White Only,,,American Indian Only,,Asian Only,,,Black Only + 2 or more/1 Black,,,Hispanic or Latino of any Race,,,2 or More/Excluding Black,,International,,,Grand Total,,,
,F,M,Tot,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,1,,1,,,,,,1,,1,3,3,6,,,,1,1,5,4,9,
"TAMU Age                     <18
Categories",,,,,,,,,,,,,,,,,,,,,,,
18-21,1,,1,,,,,,1,,1,3,3,6,,,,1,1,5,4,9,
22-25,,,,,,,,,,,,,,,,,,,,,,,
26-30,,,,,,,,,,,,,,,,,,,,,,,
31-39,,,,,,,,,,,,,,,,,,,,,,,
"Classification/Degre    Freshman
e Objective",1,,1,,,,,,1,,1,3,3,6,,,,1,1,5,4,9,
Sophomore,,,,,,,,,,,,,,,,,,,,,,,
Junior,,,,,,,,,,,,,,,,,,,,,,,
Tuition Status               Resident Tuition,1,,1,,,,,,1,,1,3,3,6,,,,,,5,3,8,
Non-Resident Tuition,,,,,,,,,,,,,,,,,,1,1,,1,1,
Tuition Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,,
Residency Status          Texas Resident,1,,1,,,,,,1,,1,3,3,6,,,,,,5,3,8,
"Non-TX, US Resident",,,,,,,,,,,,,,,,,,,,,,,
"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,,1,1,,1,1,
SCH Categories            < 6 SCH,,,,,,,,,,,,,,,,,,,,,,,
6-8 SCH,,,,,,,,,,,,,,,,,,,,,,,
9-11 SCH,,,,,,,,,,,,,,,,,,,,,,,
12-14 SCH,1,,1,,,,,,1,,1,3,,3,,,,,,5,,5,
15-17 SCH,,,,,,,,,,,,,3,3,,,,1,1,,4,4,
>17 SCH,,,,,,,,,,,,,,,,,,,,,,,
Ft/Pt:  TAMU Status   Less Than Half Time,,,,,,,,,,,,,,,,,,,,,,,
Half-Time,,,,,,,,,,,,,,,,,,1,1,,1,1,
Full-Time,1,,1,,,,,,1,,1,3,3,6,,,,,,5,3,8,
"Top 10% Texas High   No
School",,,,,,,,,,,,2,1,3,,,,1,1,2,2,4,
Yes,1,,1,,,,,,1,,1,1,2,3,,,,,,3,2,5,
First Generation           No,1,,1,,,,,,,,,2,2,4,,,,,,3,2,5,
Unknown,,,,,,,,,,,,,1,1,,,,1,1,,2,2,
Yes,,,,,,,,,1,,1,1,,1,,,,,,2,,2,
"Dorm / Off-campus     Off-campus
students",1,,1,,,,,,1,,1,,,,,,,1,1,2,1,3,
Dorm (On-campus),,,,,,,,,,,,3,3,6,,,,,,3,3,6,
"Prepared by DARS, 18 Feb 14",,,,,,,,,,,,,,,,,,,,,,,
