Demographic Summary for BLINN/TMEN Students,,,,,
(College Station),,,,,
Major TMEN,,,,,
Spring 2014,U1: Freshmen,U2: Sophomore,U3: Junior,Total,
Gender              Total,71,16,,87,
Female,9,2,,11,
Male,62,14,,76,
Ethnicity          White Only,53,11,,64,
American Indian Only,1,,,1,
Asian Only,,,,,
Black Only + 2 or more/1 Black,1,,,1,
Hispanic or Latino of any Race,12,4,,16,
Native Hawaii Only,,,,,
2 or More/Excluding Black,4,1,,5,
Unknown or Not Reported,,,,,
TAMU Age       <18,,,,,
Categories        18-21,71,16,,87,
22-25,,,,,
26-30,,,,,
Enrollment      1st Time in College,,,,,
Status                Continuing,71,16,,87,
Tuition Status Resident Tuition,66,16,,82,
Non-Resident Tuition,3,,,3,
Tuition Exemption/Waiver,2,,,2,
Residency         Texas Resident,67,16,,83,
"Status                Non-TX, US Resident",4,,,4,
"Non-TX, Non-US Resident",,,,,
Ft/Pt: TAMU  Not Enrolled,,,,,
Status                Less Than Half Time,58,15,,73,
Half-Time,13,1,,14,
Three-Quarter Time,,,,,
Full-Time,,,,,
SCH                   < 6 SCH,58,15,,73,
Categories        6-8 SCH,13,1,,14,
9-11 SCH,,,,,
12-14 SCH,,,,,
15-17 SCH,,,,,
>17 SCH,,,,,
First                   No,64,14,,78,
Generation       Unknown,1,,,1,
Yes,6,2,,8,
"Prepared by DARS, 2/18/2014 ",,,,,
